,coffee,cr_rating,coffee_origin,roaster,roaster_location,roast_level,aroma,acidity_structur,body,flavor,agtron,review,review_date,price_estimate
2746,Bernachon Panama Geisha,95,"Boquete growing region, western Panama",Wei Chuan Foods Corporation,"Taipei, Taiwan",Medium-Light,10,8							,9,9,60/76,"Evaluated as espresso. Bright, juicy, tropical. Pineapple, passion fruit, rose-like flowers, musk, a backgrounded dark chocolate in aroma and small cup. Satiny mouthfeel. Chocolate and tart fruit carry into a richly drying finish. Crisp, still juicy, and deeply and subtly nuanced in three parts milk.",January 2016,NT $2800/454 grams
2747,Bernachon B123 Espresso,92,Guatemala,Wei Chuan Foods Corporation,"Taipei, Taiwan",Medium,9,8							,9,8,50/62,"Evaluated as espresso. Sweetly crisp, but round. Vanilla, spicy-rich cedar, lily-like flowers, brisk cranberry in aroma and small cup. Full, creamy mouthfeel; sweet-toned cedar and chocolate notes carry into a rich finish. Crisply savory-sweet and redolent of cedar and sage in three parts milk.",January 2016,NT $450/454 grams
2748,Bernachon M425 Espresso,91,Brazil; Colombia; Indonesia; Ethiopia,Wei Chuan Foods Corporation,"Taipei, Taiwan",Medium,8,8							,9,8,50/60,"Evaluated as espresso. Rich and deep with floral top notes. Caramel, carob, cedar, lily in aroma and small cup. Full, syrupy, though rather dry mouthfeel; lily and cedar, in particular, carry into a crisp, balanced finish. Carob, cedar and a hint of flowers in three parts milk.",January 2016,NT $450/454 grams
2749,Bernachon Arabica Mangkuraja Grade 1 Espresso,90,"Bengkulu Province, Indonesia",Wei Chuan Foods Corporation,"Taipei, Taiwan",Medium,9,8							,8,7,46/56,"Evaluated as espresso. Deep, cedary and chocolaty. Dark chocolate, fresh-cut cedar, moist tobacco, a hint of lily-like flowers in aroma and small cup. Lean but smooth mouthfeel. Cedar dominates in a dry finish. Crisply dry chocolate nuanced by lily and fresh tobacco in three parts milk.",January 2016,NT $300/500 grams
2750,Ecuador Nestor Nino,93,"Pichincha growing region, northern Ecuador",Ghost Town Coffee Roasters,"Bozeman, Montana",Medium-Light,9,8,9,9,58/78,"Sweet and delicately rich. Strawberry, almond, honeysuckle, cedar in aroma and cup. Crisp, balanced acidity; buoyant, velvety mouthfeel. Berry and nut flavors resonate in a richly drying finish.",January 2016,$15.45/12 ounces
2751,Ethiopia Ayele Dula,93,"Yirgacheffe growing region, southern Ethiopia",Bloom Coffee Roasters,"Lansing, Michigan",Medium-Light,9,8,9,9,54/73,"Delicately sweet yet resonantly deep. Honey, peach, almond, gardenia-like flowers in aroma and cup. Crisp, juicy acidity; silky-smooth mouthfeel. Balanced and richly drying finish, with peach notes in the short and roasted cacao nib in the long.",December 2015,$17.00/12 ounces
2752,Finca San Luis Colombia,92,"Libano, Tolima Department, Colombia",Chocolate Fish Coffee Roasters,"Sacramento, California",Light,9,8,8,9,86/65,"Complex and deeply sweet. Apricot, dark chocolate, hazelnut, narcissus, an Oolong tea suggestion in aroma and cup. Juicy, gently tart acidity; plush, syrupy mouthfeel. Cocoa-toned and savory in the short finish, richly drying in the long.",December 2015,$17.50/12 ounces
2753,Finca Merced Guatemala,90,"Chimaltenango Department, Guatemala",Chocolate Fish Coffee Roasters,"Sacramento, California",Light,8,8,8,8,68/95,"Crisply sweet, cocoa-toned. Cocoa, baked apple, vanilla bean, elm in aroma and slightly savory cup. Gently rounded acidity; lightly syrupy mouthfeel. Baked apple and elm carry into a sweet-savory finish.",December 2015,$17.00/12 ounces
2754,Ethiopia Suke Quto Pulped Natural Lot,93,"Guji Zone, Oromia Region, Sidamo growing region, south-central Ethiopia",Paradise Roasters,"Ramsey, Minnesota",Medium,9,8,9,9,47/68,"Spicy, sweet, subtly intricate. Dark chocolate, lavender, sandalwood, pink peppercorn in aroma and cup. Tart but profoundly sweet acidity; satiny mouthfeel. Chocolate and lavender carry far into a richly sweet finish.",December 2015,$15.95/12 ounces
2755,Panama La Esmeralda Geisha Bosque Natural,97,"Boquete growing region, western Panama",Temple Coffee and Tea,"Sacramento, California",Medium-Light,9,9,9,10,59/82,"Deep, floral, flavor-saturated. Complex flowers (lavender, violet, more), blood orange, cocoa, a subtle suggestion of Highland whisky in aroma and cup. Round, tartly juicy acidity; plush, velvety mouthfeel. Flowers, orange, cocoa, whisky all carry deep into a finish that rings on and on.",December 2015,$62.00/8 ounces
2756,Harfusa Ethiopia Yirgacheffe Fair Trade Organic,95,"Yirgacheffe growing region, southern Ethiopia",JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,9,9,9,9,54/76,"Exhilaratingly intricate yet classically complete and balanced. Mango, honey, lilac, baker’s chocolate in aroma and cup. Lyric, sweet acidity; light, levitating, silky mouthfeel. Flavor saturates a very sweet-toned, resonant finish.",December 2015,$17.80/12 ounces
2757,ASOPCAFA Colombia,94,"Huila Department, southern Colombia",JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,9,9,8,9,60/77,"Sweetly brisk and perfumy. Honey, tea rose, dark chocolate, candied walnut in aroma and cup. Crisp, sweetly tart acidity; light but velvety mouthfeel. Rich, long, deeply flavor-saturated finish.",December 2015,$14.85/12 ounces
2758,Guatemala Plan del Guayabo Estate SL28 Winey,93,"New Oriente, Guatemala",Kakalove Cafe,"Chia-Yi, Taiwan",Medium-Light,9,8,9,9,58/83,"Musky, rich, fruity. Red currant, lily, cocoa nib, oak in aroma and cup. Rich, crisp acidity; lively silky-smooth mouthfeel. Nuts and cocoa nib carry into the deeply resonant finish.",December 2015,$19.25/16 ounces
2759,Guatemala San Sebastian Natural,95,"Antigua Valley, Guatemala",Turning Point Coffee,"San Francisco, California",Medium-Light,9,9,9,9,59/78,"Floral and sweetly spicy. Lychee, almond, vanilla and complex florals in aroma and cup. Juicy, balanced acidity; buoyant, lightly syrupy mouthfeel. Richly sweet finish carried by a mix of floral notes in the short, condensing to lavender and lychee in the long.",December 2015,$14.50/250 grams
2760,Ethiopia Hachira Natural Espresso,94,"Yirgacheffe growing region, southern Ethiopia",Turning Point Coffee,"San Francisco, California",Light,9,9							,9,8,62/87,Evaluated as espresso. Striking and original,December 2015,$22.50/250 grams
2761,Ethiopia Kochere Espresso Profile,94,"Yirgacheffe growing region, southern Ethiopia",Turning Point Coffee,"San Francisco, California",Medium-Light,9,9							,8,9,50/79,"Evaluated as espresso. Not for espresso traditionalists or the faint of palate. Intensely and uncompromisingly bright and floral. Very complex flowers (lavender, jasmine, lily), passion fruit, sandalwood, roasted cacao nib in aroma and small cup. Satiny, lively mouthfeel; richly drying, deeply and ringingly flower-saturated finish. Crisply fruit- and floral-toned in three parts milk, with only a cocoaish hint of chocolate.",December 2015,$18.00/320 grams
2762,Kenya Nyeri Kiama FCS Ichuga Factory Peaberry,95,South-central Kenya,Victrola Coffee Roasters,"Seattle, Washington",Medium,9,9,9,9,49/68,"Pungently fruit-forward and crisply floral. Plumeria-like flowers, Graham cracker, mulberry, almond in aroma and cup. Crisp, succulent acidity; full, velvety mouthfeel. Fruit and floral notes consolidate in a long, sweet, balanced finish.",December 2015,$19.50/12 ounces
2763,Kenya Nyeri Thageini,94,South-central Kenya,Turnstile Coffee Roasters,"Belmar, New Jersey",Medium-Light,9,9,9,9,54/68,"Rich and deeply sweet. Honey, lavender, Concord grape, roasted cacao nib, myrrh in aroma and cup. Juicy, lyrical acidity; plump, satiny mouthfeel. Flavor, particularly grape and cacao nib, consolidate in a richly drying finish.",December 2015,$18.00/12 ounces
2764,Panama Don Julian Natural,91,"Boquete growing region, western Panama",Inferno Dynamics Coffee Roastery,"Hong Kong, China",Medium-Light,9,8,8,9,58/72,"Richly fruit-forward and floral. Violet, blueberry, cocoa, almond in aroma and cup. Delicately crisp acidity; lively, silky mouthfeel. Cocoa and nut extend into the crisply drying, long finish.",December 2015,$16.00/8 ounces
2765,Kenya AA Lot-125 “Queen Flora”,95,Kenya,Simon Hsieh's Aroma Roast Coffees,"Taoyuan City, Taiwan",Medium-Dark,9,9							,9,9,44/56,"Evaluated as espresso. Massively rich, savory sweet, deeply complex. Dark chocolate, black currant, wisteria and lavender, tangerine-like citrus in aroma and small cup. Full, velvety mouthfeel; smooth, flavor-saturated finish. Chocolate turns fudgy and the flowers deepen in three parts milk.",December 2015,NT $900/8 ounces
2766,Ethiopia Natural Yirgacheffe Phoenix Special “King Solomon”,94,"Yirgacheffe growing region, southern Ethiopia; Sidama (also Sidamo) growing region, southern Ethiopia",Simon Hsieh's Aroma Roast Coffees,"Taoyuan City, Taiwan",Medium,9,9							,9,8,48/60,"Evaluated as espresso. Lush, sweet, musky. Lily, peach, guava, chocolate in aroma and small cup. Full, syrupy mouthfeel. Very sweet finish with a slight drying edge. Fat and nicely nuanced in three parts milk",December 2015,NT $800/8 ounces
2767,Fully Washed Ethiopia Phoenix Special “Dr. Evil”,94,Ethiopia,Simon Hsieh's Aroma Roast Coffees,"Taoyuan City, Taiwan",Medium,9,8							,9,9,45/57,"Evaluated as espresso. Floral-toned, sweetly brisk. Dark chocolate, raspberry, lilac-like flowers, incense-like cedar in aroma and small cup. Light, silky mouthfeel; richly drying, flavor-saturated finish. Briskly complex in three-parts milk",December 2015,NT $700/8 ounces
2768,Sulawesi “Tanah Kebangkitan” Phoenix Special Espresso,94,"Toraja growing region, South Sulawesi, Indonesia",Simon Hsieh's Aroma Roast Coffees,"Taoyuan City, Taiwan",Medium-Dark,9,9							,9,8,44/56,"Evaluated as espresso. Sweet, intricate, pungently floral. Baker’s chocolate, grapefruit, lavender, stone fruit in aroma and small cup. Lightly satiny, lively mouthfeel. A crisp, floral-toned chocolate dominates in the finish and carries with brisk elegance into three parts milk.",December 2015,NT $700/8 ounces
2769,Kenya AA Lot-122 “Excalibur” Espresso,94,Kenya,Simon Hsieh's Aroma Roast Coffees,"Taoyuan City, Taiwan",Medium-Dark,9,9							,9,8,45/54,"Evaluated as espresso. Deep, resonant, savory-sweet. Black currant, dark chocolate, black sage, dusk-blooming flowers in aroma and small cup. Lightly syrupy, lively mouthfeel; black currant and sage carry into a drying but rich finish. The sweet-savory fruit and chocolate character blooms pleasingly in three parts milk.",December 2015,NT $900/8 ounces
2770,Sumatra Mandheling,90,"Mandheling growing region, northern Sumatra, Indonesia",San Francisco Bay Coffee,"Lincoln, California",Medium-Dark,8,8							,8,8,37/45,"Intensely and sweetly roasty. Baker’s chocolate, scorched cedar, hints of apple and grapefruit in aroma and cup. Lightly syrupy, plump mouthfeel. The finish is drying but richly chocolate-toned.",December 2015,$14.99/12 ounces
2771,Panama Elida Natural Lot #13,95,"Boquete growing region, western Panama",Old Soul Co.,"Sacramento, California",Light,9,8,9,10,63/86,"Deeply sweet and richly savory. Black cherry, tamarind, liquorice bark and lavender in aroma and cup. Gentle, balanced acidity; levitatingly velvety mouthfeel. Cocoa and black cherry notes predominate in the crisp, resonant finish.",December 2015,$20.00/250 grams
2772,Emma’s Jo: The Leam Hammer Competition Espresso,95,Central America; South America; East Africa,Dragonfly Coffee Roasters,"Boulder, Colorado",Medium-Light,9,9							,9,9,55/75,"Evaluated as espresso. Fruit-forward, chocolaty, intricately structured. Blood orange, dark chocolate, saffron, lavender in aroma and small cup. Plump, silky mouthfeel; citrus, lavender and chocolate notes carry into a long, rich, expansive finish. The chocolate, flowers and fruit round but resonate harmoniously in three parts milk.",December 2015,$18.00/12 ounces
2773,Costa Rica Sumava Natural Lot,94,"Lourdes de Naranjo, West Valley, Costa Rica",Old Soul Co.,"Sacramento, California",Light,9,9,8,9,61/85,"Invitingly spicy and expansive. Candied ginger, cocoa nib, lychee and vanilla in aroma and cup. Delicate, juicy acidity; full, satiny mouthfeel. Richly drying finish features cocoa nib and ginger notes and lingering hints of lychee.",December 2015,$20.00/250 grams
2774,Panama Auromar Geisha Natural Peaberry,96,"Boquete growing region, western Panama",PT's Coffee Roasting Co.,"Topeka, Kansas",Medium-Light,9,9,9,10,53/70,"Delicately sweet and exotically spicy. Tea rose, cocoa nib, cedar, frankincense, much more in aroma and cup. Dynamic and expansive acidity; satiny mouthfeel. Rich, resonant finish infused with musky floral notes far into the long.",December 2015,$40.00/8 ounces
2775,El Burro Geisha Tachi Natural,95,"Boquete growing region, western Panama",Geisha Coffee Roaster,"Ovledo, Florida",Medium-Light,9,9,9,10,55/75,"Delicate, immense, deeply floral. Rose, hazelnut, vanilla and cocoa butter in aroma and cup. Juicy, sweet acidity; silky-smooth mouthfeel. Long, crisp, cocoa-laden and floral finish.",December 2015,$46.95/12 ounces
2776,Holiday Blend,95,Ethiopia; Kenya.,Ghost Town Coffee Roasters,"Bozeman, Montana",Medium-Light,9,9,9,9,54/77,"Intricately sweet, delicately composed. Lilac-like flowers, blueberry, pink grapefruit zest, cocoa nib in aroma and cup. Vibrant, lyrical acidity; silky-smooth mouthfeel. Richly drying fruit- and floral-toned finish.",December 2015,$15.25/12 ounces
2777,Holiday Blend,95,Guatemala; Ethiopia.,Lab 146,"Kaohsiung, Taiwan",Light,9,9,8,10,66/82,"Vivaciously sweet and spicy. Dried fig, lemon zest, rose-like flowers and roasted cocoa nib in aroma and cup. Bright, juicy acidity; lightly silky mouthfeel. Spice-toned sweetness carries deep into a resonant finish.",December 2015,$25.00/8 ounces
2778,Nicaragua Pacamara Los Congos Lot #8,95,"San Fernando, Nueva Segovia region, Nicaragua",Old Soul Co.,"Sacramento, California",Light,9,9,9,9,68/82,"Delicate, sweetly pungent, spicy. Crisp peach, black tea, magnolia-like flowers and lemon zest in aroma and cup. Juicy, bright acidity; lightly silky mouthfeel. Peach, black tea and floral notes carry deep into a crisply sweet finish.",December 2015,$20.00/250 grams
2779,Panama Boquete Kotowa Gesha Natural,94,"Boquete growing region, western Panama",Giv COFFEE,"Torrington, Connecticut",Light,9,8,9,9,64/84,"Intricately fruity and richly savory. Plumeria-like flowers, dried hibiscus, cinnamon bark, almond in aroma and cup. Quietly tart acidity; satiny mouthfeel. Floral, nutty, sweetly resonant finish.",December 2015,$45.00/8 ounces
2780,Holiday Blend,94,Honduras; Kenya; Ethiopia,Olympia Coffee Roasting,"Olympia, Washington",Medium-Light,9,9,8,9,59/70,"Delicately and richly pungent. Orange zest, rooibos, narcissus-like flowers and baker’s chocolate in aroma and cup. Richly brisk acidity; lightly velvety mouthfeel. Smooth, richly drying finish infused with cocoa and citrus notes.",December 2015,$18.90/12 ounces
2781,Panama Finca Auromar Camilina Natural,94,"Piedra Candela, Chiriqui Province, western Panama",Willoughby's Coffee & Tea,"Branford, Connecticut",Light,9,9,8,9,66/90,"Delicately sweet, intricate, rich. Honey, grapefruit zest, roasted cacao nib, rose-like flowers in aroma and cup. Balanced, gently bright acidity; buoyant, lightly syrupy mouthfeel. Resonantly flavor-saturated finish.",December 2015,$50.00/8 ounces
2782,Hokulele Kona,93,"Holualoa, North Kona growing district, “Big Island” of Hawaii",Hula Daddy,"Holulaloa, Hawaii",Medium-Light,9,9,8,9,54/76,"Sweet, floral-toned pungency. Vanilla, macadamia nut, fresh peach and rose hips in aroma and cup. Vibrant and balanced acidity; silky mouthfeel. The richly drying finish is carried by peach notes in the short and rose hips in the long.",December 2015,$39.95/8 ounces
2783,Holiday Blend,93,Southern Ethiopia,Papa Lin's Coffee Roasting,"Yorktown Heights, New York",Medium,9,8,9,9,51/68,"Subtly rich and deep. Baker’s chocolate, vanilla, cherry blossom, lemon verbena, myrrh in aroma and cup. Gentle, fruity acidity; plump, satiny mouthfeel. Flavor notes consolidate in a lightly resonant, bittersweet finish.",December 2015,$18.00/12 ounces
2784,Holiday Blend,93,Colombia; Ethiopia.,Red Rooster Coffee Roaster,"Floyd, Virginia",Light,9,8,8,9,60/82,"Intricately sweet, roundly spicy. Almond butter, white tea, orange zest, honeydew melon in aroma and cup. Delicate, juicy acidity; viscous, velvety mouthfeel. Richly drying, zesty, spicy-sweet finish.",December 2015,$12.99/12 ounces
2785,Holiday Blend,93,"West Java, Indonesia; Papua New Guinea",Velton's Coffee,"Everett, Washington",Medium-Light,9,8,9,9,56/74,"Delicately sweet and spice-toned. Mulling spices, almond, narcissus-like flowers and caramel in aroma and cup. Sweet, gentle acidity; satiny mouthfeel. Long, richly drying, spice-toned finish.",December 2015,$17.00/16 ounces
2786,El Aguila SL-28 El Salvador,94,"Santa Ana growing region, El Salvador",JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,9,8,9,9,58/77,"Rich, cedar-rounded and sweetly nutty. Candied blood orange, cocoa powder, wisteria and baked apple in aroma and cup. Plump, juicy acidity; smooth, creamy mouthfeel. Crisp, spicy, cocoa-toned short finish; floral notes persist far into the long.",November 2015,$18.75/12 ounces
2787,Kenya Nyeri Karogoto AA,93,"Nyeri County, Central Highlands, Kenya",Papa Lin's Coffee Roasting,"Yorktown Heights, New York",Medium,9,8,9,9,50/67,"Deeply rich, with an enveloping pungency. Blackcurrant, musky rose, walnut and oak in aroma and cup. Low-toned but rich acidity; buoyant, syrupy mouthfeel. Walnut saturates the short finish; blackcurrant the long.",November 2015,$20.00/12 ounces
2788,Ethiopia Sidama Special Lot Natural,95,"Guji Zone, Sidama Province, southern Ethiopia",Dragonfly Coffee Roasters,"Boulder, Colorado",Light,10,9,9,9,63/86,"Complex, fruity and spice-toned. Sugared grapefruit, saffron, jasmine and cocoa nib in aroma and cup. Buoyant, expansive acidity; silky-smooth mouthfeel. Spice notes of saffron and clove carry through the quietly resonant finish.",November 2015,$18.00/12 ounces
2789,Panama Finca Deborah Caturra Natural,94,"Chiriqui, Boquete growing region, western Panama",Temple Coffee and Tea,"Sacramento, California",Light,9,9,8,9,65/88,"Immensely sweet; seductively rich. Butterscotch, blood-orange zest, almond butter, roasted cacao nib in aroma and cup. Balanced, buoyantly vibrant acidity; lightly syrupy mouthfeel. Citrus and nut butter carry deep into the long finish.",November 2015,$20.00/8 ounces
2790,Costa Rica El Jordan Natural Small-Lot Reserve,93,"Carrizal de Alajuela, Costa Rica",Dragonfly Coffee Roasters,"Boulder, Colorado",Medium,9,8,9,9,50/68,"Deeply rich and enticing. Orange blossom, cocoa, fine musk and black cherry liqueur in aroma and cup. Plump, juicy acidity; lightly velvety mouthfeel. Hints of cocoa and black cherry in a long, richly drying finish.",November 2015,$18.00/12 ounces
2791,Guatemala San Antonio Chaguite,92,"Agua Dulce, Huehuetenango, Guatemala",Insight Coffee Roasters,"Sacramento, California",Light,9,8,8,9,68/88,"Powerfully rich, sweet and musky. Baked persimmon, rye malt, fir and narcissus in aroma and cup. Sweet, juicy acidity; satiny mouthfeel. Quietly resonant finish redolent of cocoa, persimmon and fir.",November 2015,$18.00/12 ounces
2792,Ethiopia Biftu Gudina Jimma,92,"Jimma Zone, Oromia State, Ethiopia",Corvus Coffee Roasters,"Denver, Colorado",Medium-Light,9,8,8,9,61/80,"Zesty, sweet, subtly layered. Honeysuckle, peach, almond, a touch of citrus in aroma and cup. Brisk, juicy acidity; light, silky mouthfeel., Flowers and peach segue into a sweet, gently drying finish.",November 2015,$19.00/12 ounces
2793,Nekisse Red N2 Level 39,96,"Sidamo (also Sidama) growing region, southern Ethiopia",AHRIRE Roasting,"Pu'Er Yunnan Province, China",Medium-Light,9,9,9,10,63/74,"Invitingly complex, vividly expressive. Starfruit, musk, butterscotch, dark chocolate in aroma and cup. Lyric, gracefully coherent acidity; ultra-silky mouthfeel. A full complement of flavor notes carry deep into a long, resonant finish.",November 2015,RMB $235/125 grams
2794,Panama La Esmeralda Bosque Lot 1 Gesha,94,"Boquete growing region, western Panama",Bird Rock Coffee Roasters,"San Diego, California",Light,9,9,9,9,64/85,"Delicate, crisply sweet, honey-rounded. Plum blossom, apple, lemon verbena and pistachio in aroma and cup. Juicy, balanced and seductive acidity; lightly satiny mouthfeel. Lemon verbena saturates the crisply dry finish.",November 2015,$48.00/8 ounces
2795,Costa Rica Santa Lucia Cup of Excellence #7,93,"Central Valley, Costa Rica",Bird Rock Coffee Roasters,"San Diego, California",Light,9,9,8,9,67/85,"Invitingly fruity and nutty. Blood orange, almond brittle, Darjeeling, sassafras in aroma and cup. Juicy and buoyant acidity; full, velvety mouthfeel. Almond and sassafras carry far into the finish.",November 2015,$17.00/8 ounces
2796,Finca La Mula Panama Geisha Natural,95,"Chiriqui, western Panama.",JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,10,9,9,9,52/73,"Big, musky, floral. Cocoa nib, pomegranate, lilac and Brazil nut in aroma and cup. Juicy, vibrant acidity; velvety, smooth mouthfeel. Crisp, nutty, flavor-saturated in the short finish; bittersweet and pleasantly dry in the long.",November 2015,$49.95/8 ounces
2797,La Lagunita El Salvador,94,"Apaneca, El Salvador",JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,9,9,9,9,59/79,"Strikingly rich, spice-toned. Sandalwood, tangerine, vanilla and cocoa in aroma and cup. Bright, fruity acidity; syrupy, yet levitatingly buoyant mouthfeel. Spicy, richly drying finish redolent of vanilla and sandalwood.",November 2015,$18.75/12 ounces
2798,Ethiopia Hambela Natural,93,"Hambela District, Oromia growing region, southern Ethiopia",Red Rooster Coffee Roaster,"Floyd, Virginia",Medium-Light,9,8,9,9,52/71,"Rich, deep, massively sweet. Lily, musk, brandy, blueberry, roasted cacao nib in aroma and cup. Soft, vibrant acidity; syrupy mouthfeel. The fruit and nutty cacao carry into a resonantly drying finish.",November 2015,$15.49/12 ounces
2799,Kenya Kiaguthu AA,93,South-central Kenya.,Bootstrap Coffee Roasters,"St. Paul, Minnesota",Medium-Light,9,9,8,9,57/78,"Crisp, sweet-savory. Turbinado sugar, green apple, wild rose, white sage in aroma and cup. Big, richly bright acidity; satiny mouthfeel. Flowers, apple and brown sugar all carry into a roundly drying finish.",November 2015,$20.00/12 ounces
2800,Sweet Maria’s Colombia Timana Principales Lotes,93,Colombia,AHRIRE Roasting,"Pu'Er Yunnan Province, China",Medium-Light,9,8,8,9,58/79,"Delicate, sweet, with spicy undertones. Mangosteen, lilac, candied lemon zest, raw chocolate and sage in aroma and cup. Vibrant, juicy acidity; full, silky mouthfeel. Sweet florals, along with cocoa and lemon zest, saturate the long, resonant finish.",November 2015,RMB $70/150 grams
2801,Juliette Ninety Plus Gesha Estates,93,"Volcan, Panama",Barrington Coffee Roasting Co.,"Lee, Massachusetts",Light,9,8,9,9,68/94,"Delicate, floral, intricate. Rose, Brazil nut, sweetly pungent frankincense and liquorice bark in aroma and cup. Soft, richly composed acidity; velvety, plump mouthfeel. Crisply drying, nutty, long finish.",November 2015,$82.45/12 ounces
2802,Ethiopia Hambela Washed,92,"Hambela District, Oromia growing region, southern Ethiopia",Red Rooster Coffee Roaster,"Floyd, Virginia",Medium-Light,9,8,8,9,52/72,"Light, intricate, zesty. Black currant, lemon, lilac, sandalwood, baker’s chocolate in aroma and cup. Brisk, juicy acidity; silky smooth mouthfeel. Flowers and berry carry into a gently drying short finish, sweetening in the long.",November 2015,$13.99/12 ounces
2803,S.O. Espresso Ethiopia Borboya,92,"Yirgacheffe growing region, southern Ethiopia",Paradise Roasters,"Ramsey, Minnesota",Medium,9,8							,9,8,45/60,"Evaluated as espresso. Elegantly floral, bittersweet. Flower-saturated peach, baker’s chocolate, sandalwood, orange zest in aroma and small cup. Light, satiny mouthfeel. Flowers and orange in particular carry into a gently drying finish. The predictable chocolate in three parts milk is nuanced by continued lavender and peach notes.",November 2015,$14.95/12 ounces
2804,Kenya Gachatha,92,South-central Kenya,Lexington Coffee Roasters,"Lexington, Virginia",Medium-Light,9,8,8,9,58/80,"Spicy and crisply pungent. Fresh-cut fir, black currant, caralm, spicy wild rose, a hint of black peppercorn in arom and cup. Tartly sweet acidity; velvety, drying mouthfeel. Spicy and drying in the short finish, sweetening in the long.",November 2015,$19.95/12 ounces
2805,Ethiopia Washed Yirgacheffe Z G1,92,"Yirgacheffe growing region, southern Ethiopia",Kakalove Cafe,"Chia-Yi, Taiwan",Light,9,8,8,9,63/87,"Delicate; lightly pungent. Fir, lemon blossom, maple syrup, gingko fruit in aroma and cup. Vibrant, juicy acidity; velvety, buoyant mouthfeel. Crisp, long finish with notes of gingko throughout.",November 2015,$14.50/16 ounces
2806,Kenya Kinuyu AA,95,"Kirinyaga District, south-central Kenya",Temple Coffee and Tea,"Sacramento, California",Medium-Light,10,9,8,9,57/70,"Big, exuberant, rich, comprehensive. Mulberry, vanilla bean, butterscotch, orchid-like flowers in aroma and cup. Round, ringingly sweet acidity; full, syrupy mouthfeel. Very long, resonantly flavor-saturated finish.",November 2015,$21.00/12 ounces
2807,Costa Rica Alberto Guardia Venecia Honey,94,"Central Valley, Costa Rica",Temple Coffee and Tea,"Sacramento, California",Light,9,9,9,9,63/85,"Deeply sweet, lyrically balanced. Honey, honeysuckle, hazelnut, cacao nib, crisp pear in aroma and cup. Gracefully and gently brisk acidity; silky, buoyant mouthfeel. The sweet honey/honeysuckle and the crisp cacao nib and hazelnut notes carry into a quietly flavor-saturated finish.",November 2015,$18.50/12 ounces
2808,Cask-Conditioned Costa Rican,93,"Tarrazu growing region, Costa Rica",Fresh Cup Roastery Cafe,"Victoria, British Columbia, Canada",Medium-Dark,9,8,8,9,34/52,"Deep, musky, complex, subtly spirits-toned. Oak, fruit-toned spirits, suggestions of butterscotch, banana bread and crisp roasted cacao nib in aroma and cup. Round, resonant acidity; plush, velvety mouthfeel. Flavor saturates a long, persistent finish.",November 2015,CAD $19.95/10 ounces
2809,Guatemala Huehuetenango,91,"Huehuetenango growing region, Guatemala",Grounds for Change,"Poulsbo, Washington",Medium,8,8,8,9,51/61,"Deep, rich. Oak, molasses, dark chocolate, orange zest, pecan in aroma and cup. Round, quiet acidity; plush mouthfeel. Dark chocolate and pecan in particular carry into a sweet, balanced finish.",November 2015,$11.35/12 ounces
2810,Colombia Nariño Fiesta,90,"Nariño Department, southern Colombia",The WestBean Coffee Roasers,"San Diego, California",Medium-Light,9,8,8,8,56/66,"Unusual, exotic pungency; richly tart, juicy acidity. Notes of violet, white sage, apricot and tobacco in aroma and cup. Lively, lightly syrupy mouthfeel. Crisp, richly drying finish.",November 2015,$18.00/16 ounces
2811,Organic Colombia Fondo Paez,93,"Valle del Cauca growing region, Colombia",Wonderstate Coffee,"Driftless, Wisconsin",Medium-Light,9,9,8,9,57/74,"Big, vibrant, deep. Tangerine zest, peach, walnut, freesia-like flowers rounded by a caramelly dark chocolate in aroma and cup. Lyrically bright, exhilarating acidity; lightly syrupy, buoyant mouthfeel. Flavor consolidates around peach and walnut in a resonant, straightforward finish.",November 2015,$15.75/12 ounces
2812,Organic Ethiopia Worka Special Prep,93,"Yirgacheffe growing region, south-central Ethiopia",Wonderstate Coffee,"Driftless, Wisconsin",Medium-Light,9,8,8,9,60/78,"Crisply spicy and intricately floral; savory-sweet. Lavender, rosemary flower, honey, roasted cacao nib in aroma and cup. Sweetly brisk acidity; light, silky mouthfeel. Cacao nib and lavender carry into sweetly resonant, flavor-saturated finish.",November 2015,$17.75/12 ounces
2813,Nicaragua Cafe Vidita Los Congos Pacamara Natural,95,"Nueva Segovia, Nicaragua",Dragonfly Coffee Roasters,"Boulder, Colorado",Light,9,9,9,9,63/91,"Complex, pungently juicy. Rose-like flowers, roasted cacao nib, candied lemon, mulberry in aroma and cup. Sweet-toned, softly lively acidity; plush, satiny mouthfeel. Deep and flavor-saturated in the finish.",November 2015,$18.00/12 ounces
2814,Nicaragua Don Roger Natural,92,Nicaragua,Dragonfly Coffee Roasters,"Boulder, Colorado",Light,9,9,8,9,61/84,"Delicate, subtly intricate. Orange zest, honeysuckle, vanilla bean, pecan, a hint of bourbon whisky in aroma and cup. Crisp, gently lively acidity; lightly syrupy mouthfeel. Honeysuckle and vanilla in particular carry into a rich finish.",November 2015,$21.00/12 ounces
