coffee,origin,flavour,region,variety,process,roast,roaster,roaster_name
Bolivia Tres Estrellas Organic, Bolivia.,"Distinct, rose-like flowers and cocoa-toned nut dominate pleasingly in aroma and cup. Round, gently sweet-toned acidity; lightly plush, smooth mouthfeel. Deep, rich finish.","Caranavi growing region, La Paz Department,",,others,medium,PT's Coffee Roasting Co.,
Espresso Monk’s Momentum,not disclosed,"Sweet-toned peach and caramel in the aroma give way to pungent, mango-like fruit and dark chocolate in the small cup, with a complicating hint of savory cedar. Slightly lean but smooth mouthfeel. Flavor carries deeply into a long finish. Delicate in two parts milk, where the fruit and chocolate predictably soften and sweeten.",,,others,medium,Vertigo Coffee,
Burundi Sogestal Mumirwa,Burundi,"Crisp lavender-like flowers dominate, with hints of lemon, blackberry and honey in aroma and cup. A spicy, savory suggestion deepens the cup. Gently and sweetly tart acidity; silky mouthfeel. Rich, bittersweet finish.",,,others,medium,Temple Coffee and Tea,
Tanzania Mpito, southwestern Tanzania.,"Round, sweet-toned, gently plush. Cocoa, flowers, plum-like fruit in aroma and cup. Delicate, crisp acidity; light but smooth mouthfeel. Flavor carries into a gently rich finish.","Mbeya growing region,",,others,medium,Kean Coffee,
Tanzania Nzovu, southwestern Tanzania.,"Brisk, cedary berry notes dominate in aroma and cup, with hints of cocoa and a rounder, juicier fruit, cherry perhaps. Softly balanced acidity; impressively plush, lightly syrupy mouthfeel. Rich, straightforward finish.","Mbeya growing region,",,others,medium,Temple Coffee and Tea,
Rwanda Buremera,Rwanda,"Lush, ripe cherry and table grape in aroma and cup, complemented by a dry, savory cedar note, particularly in the cup. Crisp, delicately balanced acidity; lightly syrupy mouthfeel. Simple but rich finish.",,,others,medium,Equator Coffees & Teas,
Rwanda Kinunu,Rwanda,"Brisk, delicate, complex. Apricot, mandarin orange, dark chocolate, night flowers in aroma and cup. Gently crisp acidity; silky mouthfeel. Richly dry, flavor-saturated finish.",,,others,medium,JBC Coffee Roasters,
Burundi Kirimiro Teka Lot 2,Burundi,"Dry, crisply juicy. Tart berry, cocoaish nut, peach, lavender-like flowers in aroma and cup. Brisk acidity; light, silky mouthfeel. Long, dry finish.",,,others,medium,Bird Rock Coffee Roasters,
Burundi Ngozi Gihere 2,Burundi,"Dry and brisk yet juicy. Layered dark berry and tamarind notes in aroma and cup, with hints of orange and cocoa. Crisp acidity; lightly syrupy mouthfeel. The dry berry note carries deep into the finish.",,,others,medium,Terroir Coffee,
Burundi Kiryama Washing Station,Burundi,"Complex floral character, combining jasmine-like sweetness and bitterish lavender. Deepening hints of plum-like fruit and cocoa. Soft, spicy acidity; leanish though silky mouthfeel. A savory hint turns up in the rich, floral-toned finish.",,,others,medium,Willoughby's Coffee and Tea,
Rwanda Bufcafe,Rwanda,"Intense, bright, floral. Flowers, pear, apricot, hints of honey and cocoa in aroma and cup. Rich, forceful but balanced acidity; lightly syrupy mouthfeel. Fruit notes in particular carry into a long, resonant finish.",,,others,medium,JBC Coffee Roasters,
Rwanda Fair Trade Cafe Feminino, Rwanda.,"Tart, honeyish, refreshing. Orange, honey, flowers, blackberry in aroma and cup. Round, resonant acidity; syrupy mouthfeel. Long, flavor-saturated finish.","Gakenke District,",,others,medium,Klatch Coffee,
Kenya Mamuto, south-central Kenya,"Intense, rich, roundly tart","Kirinyaga region,",,others,medium,Terroir Coffee,
Panama Lerida Estate, western Panama.,"Tartly sweet, vibrant, deep. Blackberry, orange, cedarish cocoa, fragrant night flowers in aroma and cup. Rich, resonant acidity; plush but crisp mouthfeel. The symphonic aromatics fade just slightly in the long, rich finish.","Volcan Baru,",,others,medium,Green Mountain Coffee,
Elizer Espresso,South-Central Brazil,"Evaluated as espresso. Balanced, crisp, smooth. Raisin, almond, dark chocolate, cantaloupe-like fruit in aroma and small cup. Lightly syrupy mouthfeel. Chocolate in particular lingers in a pleasantly dry finish. Superb in two parts milk",,,others,medium,JBC Coffee Roasters,
El Roble Colombia Santander, Colombia.,"Delicate, crisply sweet but authoritative. Nut-toned cocoa, caramel, ripe orange, flowers in aroma and cup. Soft acidity; plushly silky mouthfeel. Long, deeply flavor-saturated finish.","Santander Department,",,others,medium,Terroir Coffee,
Tano Batak Sumatra, Indonesia,"Juicy sweet, tartly spicy. Blackberry, pungent cedar, moist fresh-fallen leaves, hints of lemon and cocoa. Balanced, rich acidity; lightly syrupy mouthfeel. Long finish rich with pungently sweet berry and cedar.","Northern Sumatra,",,others,medium,JBC Coffee Roasters,
Kona Peaberry Medium Roast, Big Island of Hawaii.,"Crisply sweet, balanced. Ripe lemon, night flowers, cocoaish chocolate and a hint of cedar in aroma and cup. Gently bright acidity; silky mouthfeel. Delicately flavor-saturated, rich finish.","Holualoa (North Kona District),",,others,medium,Hualalai Roasting and Coffee Company,
San Augustin Guatemala Antigua, Guatemala,"Round, full, deeply layered complexity","Antigua Valley,",,others,medium,Terroir Coffee,
Easter Sunrise Blend,not disclosed,"Intense, idiosyncratic, original. Bittersweet with a salty savory edge. Dried date, raisin, dark chocolate, distinct lavender top notes. Deep-toned acidity; heavily syrupy mouthfeel. Smoothes and sweetens a bit in the finish, but retains its weighty, savory richness.",,,others,medium,Mystic Monk Coffee,
Ethiopian Shanta Golba Espresso Fair Trade, southern Ethiopia.,"Evaluated as espresso. Deep and sweet in the aroma with mint- and brandy-toned dark chocolate, apricot, peach. In the cup the chocolate and fruit turn crisp and salty-savory with an anise-like pungency. Lightly syrupy mouthfeel; rich, heavyish, bittersweet finish. In two parts milk the coffee recovers its lift and sweetness with the chocolate and stone fruit softening and blooming.","Sidama (also Sidamo) growing region,",,others,medium,JBC Coffee Roasters,
Kenya AA Ruiru Mills Estate, central Kenya.,"Rich, complex, savory sweet. Caramel, lemon, molasses, hints of apricot and rose-like flowers in aroma and cup. Crisply tart acidity; silky mouthfeel. Flavor carries into a rich though drying finish.","Ruiru growing region,",,others,medium,Barrington Coffee Roasting Co.,
SO Espresso Brazil Corrego Seco Dark Roast, Brazil.,"Evaluated as espresso. Sweet-toned, buttery character","Chapada Diamantina growing region, Bahia State,",,others,medium,Paradise Roasters,
Laura’s Blend: 100 Percent Kona Coffee Fancy, Hawaii.,"Pleasing caramelly sweetness is balanced by hints of pungent cedar and complemented by orange and floral notes. Delicate but rich acidity; lively, silky mouthfeel. Flavor carries into a long, elegantly clean finish.","Holualoa, North Kona growing district,",,others,medium,Hula Daddy,
Ethiopian Tchembe Amaro Gayo, southern Ethiopia.,"Sweet and brandy-like dried-in-the-fruit profile. Brandied blueberry and minty dark chocolate dominate in aroma and cup with hints of cedar and night flowers. Rich, wine-like acidity; lightly syrupy mouthfeel. The minty dark chocolate carries nicely into a resonant and relatively clean finish.","Amaro region,",,others,medium,Fratello Coffee Roasters,
Venice Nights, Indonesia; Mexico.,"Dark chocolate and lavender-like flowers dominate, complicated by unusual sweet spicy/herbal notes","Northern Sumatra,",,others,medium,Cafe Excellence,
ChacolaTAY Blend,Ethiopia; Sumatra.,"Complex, richly and sweetly crisp. Strawberry and lemon, night flowers, honey, fresh-fallen leaves in aroma and cup. Gently bright and balanced acidity; lightly syrupy, lively mouthfeel. Sweet-toned, flavor-saturated finish.",,,others,medium,ChacolaTAY,
Kenya Gichatha-Ini,Central Kenya.,"Unusual citrusy, savory character. Flowers, grapefruit and peppery aromatic wood in aroma and cup. Sweetly tart, wine-toned acidity; lightly syrupy mouthfeel. The savory edge is particularly prominent in the rich, resonant finish.",,,others,medium,Gavagai,
El Salvador Finca El Majahual,El Salvador,"Sweetly tart, wine-toned fruit dominates in aroma and cup, with hints of pungent cedar and crisp cocoa. Gently bright, wine-like acidity; plush mouthfeel. Rich and sweet in the short finish; rather drying in the long.",,,others,medium,Vertigo Coffee,
Kenya Kangocho, Kenya,"Very sweet but quite tart, on the edge of sour, with an underlying savory hint. Aroma and flavor notes suggest green apple, molasses, plum, cocoa, agave syrup. Full, smooth mouthfeel. The sweet tendency prevails in an agreeable finish.","Nyeri County,",,others,medium,ChacolaTAY,
Burundi Kiryama Micro Lot 8, northern Burundi.,"Rich, opulent coffee","Kayanza Province,",,others,medium,Coffea Roasterie,
Ethiopian Sidamo Shanta Golba Natural Processed, southern Ethiopia.,Intense aroma and flavor,"Sidama (also Sidamo) growing region,",,others,medium,JBC Coffee Roasters,
Brasil Fazenda Sertao, Brazil,"Very sweet, delicately lush. Apricot, almond, hints of milk chocolate and tangerine in aroma and cup. Gently crisp acidity; light, slightly lean mouthfeel. Apricot and chocolate in particular persist in a smooth, sweet-toned finish.","Carmo de Minas growing region, Minas Gerais State,",,others,medium,Panther Coffee,
Brazil Zinho Peaberry Natural, Brazil.,"Sweetly and gently pungent. Dark chocolate, cedar, walnut, a hint of orangy fruit in aroma and cup. Roast-rounded acidity; lightly syrupy mouthfeel. Some chocolate sweetness lingers in a rather dry, roasty finish.","Campos Altos growing district, Minas Gerais State,",,others,medium,Caravan Coffee,
Organic Brazil Diamantina, Brazil.,"Intense, gently but sweetly tart. Lemony peach, almond, fresh-cut fir, brown sugar in aroma and cup. Delicate, lively acidity; leanish but silky mouthfeel. Long, almost sugary sweet short finish, drying in the long.","Chapada Diamantina growing region, Bahia State,",,others,medium,Wonderstate Coffee,
"Brazilian, Medium Roast",Brazil,"Delicate, sweetly lyric coffee. Dark chocolate, vanilla, almond in aroma and cup. Gentle, crisp acidity; light but very silky mouthfeel. A fine, sweet-toned finish fades rather quickly.",,,others,medium,Carvalho Coffee,
Brazil Fazenda Floresta, Brazil.,"Sweet-toned, balanced, gently opulent. Cherry, almond, honeyish night flowers with a port-wine-like hint in aroma and cup. Soft, round acidity; lightly syrupy mouthfeel. Very rich finishing.","Chapada Diamantina growing region, Bahia State,",,others,medium,Salt Spring Coffee,
Brazil Monte Alegre, Brazil.,"Straightforward, finely structured. Balanced and sweet-toned in aroma and cup, with distinct milk chocolate notes and hints of lemon, cedar and raisin. Roundly rich acidity; syrupy mouthfeel. Flavor, particularly the chocolate, carries deep into a long, clean finish.","Sul de Minas growing region, southern Minas Gerais State,",,others,medium,Kean Coffee,
Brazil Sitio do Tanque, Brazil.,"Quiet, delicately lush, gently tart. Peach, a crisply dry version of blackberry and night flowers dominate in aroma and cup. Softly bright acidity; full, plush mouthfeel. Peach carries into a balanced finish.","Chapada Diamantina growing region, Bahia State,",,others,medium,Gavagai,
Brazil Fazenda Chapadao de Ferro Peaberry, Brazil.,"Quietly complex, crisply sweet. Dark chocolate dominates in aroma and cup, complicated by suggestions of nut – almond, walnut – and an apricot-like fruit. Soft, round acidity; lightly syrupy mouthfeel. Chocolate in particular lingers in a long, flavor-saturated finish.","Patrocinio region, Minas Gerais State,",,others,medium,Panther Coffee,
Sol do Paraguassu Farm Natural Processed Brazil, Brazil.,"Gently and lushly bright. Flowers, honeyed lemon, hints of almond and pungent fresh-cut fir in aroma and cup. Delicate, juicy acidity; lightly syrupy mouthfeel. Flavor details fade in the finish, but a richly tart sweetness lingers.","Chapada Diamantina growing region, Bahia State,",,others,medium,OQ Coffee Co.,
El Vergel Guatemala, Guatemala.,"Big, bright, lushly complex. Fragrant eucalyptus, dark chocolate, jammy black currant, white flowers in aroma and cup. Very sweet acidity, tart yet pure and smooth. Syrupy mouthfeel. Exquisitely clean, deep, juicy finish.","Patzun growing region,",,others,medium,Terroir Coffee,
Colombia Finca Villa Loyola, southern Colombia,"Finely poised and balanced. Ripe lemon, cocoa, peach, night flowers in aroma and cup. Rich, sweetly pungent acidity; plush, deep mouthfeel. Lemon notes in particular linger in the sweet-toned trajectory of a very long finish.","Narino Department,",,others,medium,PT's Coffee Roasting Co.,
Colombian La Esperanza, Colombia.,"Very sweet-toned but crisp, with blackberry, cedar, walnut, and a rounding, backgrounded milk chocolate in aroma and cup. Quietly balanced acidity; syrupy mouthfeel. A hint of ripe lemon complicates a smooth, clean finish.","Valle del Cauca growing region,",,others,medium,Barrington Coffee Roasting Co.,
Tano Batak Sumatra, Indonesia.,"Sweetly pungent grapefruit and spicy, moist fresh-fallen leaves in aroma and cup. Hints of vanilla and peach. Richly round acidity; lightly syrupy mouthfeel. Peach notes in particular linger in a long, flavor-saturated finish.","Lintong growing region, North Sumatra,",,others,medium,Kuma Coffee,
Gacokwe Burundi, Burundi.,"Distinct vanilla-toned cedar, dry berry, hints of ripe orange and lush night flowers in aroma and cup. Gentle, sweetly crisp acidity; full, plush mouthfeel. Resonant, sweet-toned finish.","Kayanza Province,",,others,medium,Kuma Coffee,
Bolivia Marcial Huanca, Bolivia.,"Very sweet, resonant, gently tart. Tangerine, cocoa, brown sugar, floral top notes. Gentle acidity; lightly syrupy mouthfeel. The impressively sweet-toned, complex flavor carries deep into a long finish.","Caranavi Province,",,others,medium,Bird Rock Coffee Roasters,
Guatemalan La Joya, Guatemala,"Sweet-toned, deep, richly balanced. Ripe orange and distinct almond notes with a backgrounded sweet cocoa in aroma and cup. Delicately bright, fruit-toned acidity; lightish but very silky mouthfeel. Flavor-saturated short finish; dries out a bit in the long.","Sacatepequez region,",,others,medium,Barrington Coffee Roasting Co.,
House Blend (K-Cup),not disclosed,"(As brewed in a Keurig Platinum B70 single-serve brewing device using a ""K-Cup"" capsule to produce 6-ounce serving)",,,others,dark,Tully's Coffee,
Sumatra Reserve Extra Bold Fair Trade Organic (K-Cup), Indonesia.,"As brewed in a Keurig Platinum B70 single-serve brewing device using a ""K-Cup"" capsule to produce 6-ounce serving)","Sumatra,",,others,dark,Green Mountain Coffee,
P&F Espresso Blend,not disclosed,"Evaluated as espresso. In the small cup rich and deep with dry, brandyish fruit notes",,,others,medium,P&F Coffee,
Rwanda Gatare Cup of Excellence Lot 6, Rwanda.,"Intense, zesty but sweet. Grapefruit, peach, rose-like flowers, baker’s chocolate in aroma and cup.  Richly crisp acidity; silky mouthfeel. The floral note in particular carries into a long, dry, flavor-saturated finish.","Nyamasheke District,",,others,medium,Café Grumpy,
Sumatra Red Badger, Indonesia.,"Sweetly and gently pungent. Peach, melon, cocoa, fir, a hint of grapefruity citrus in aroma and cup. Rich, balanced acidity; lightly syrupy mouthfeel. Sweetly tart, citrusy finish.","Aceh Province, northern Sumatra,",,others,medium,Cultiva Fine Coffee,
Kenya Nyeri AA Gaturiri, central Kenya.,"Crisply tart, dry berry and pungent grapefruit dominate in aroma and cup, with rounding hints of nut-toned cocoa and caramel. Intense, brightly balanced acidity; lightly syrupy mouthfeel. Rich, dry, flavor-saturated finish.","Nyeri growing region,",,others,medium,The WestBean Coffee Roasters,
Kenya AA Nyeri Gaturiri, central Kenya.,Aromatically diverse and deep,"Nyeri growing region,",,others,medium,Magpie Coffee Roasters,
El Salvador Finca Suiza Santa Ana, El Salvador.,"Simultaneously lushly sweet and tartly zesty. Cocoa, tart lemon, maraschino cherry, molasses in aroma and cup. Richly round acidity; syrupy mouthfeel. Sweetness carries from cup to finish, cushioning a continued suggestion of bitterish citrus zest.","Santa Ana growing region,",,others,medium,Magpie Coffee Roasters,
Colombia Pablo Zuniga Micro Lot, Colombia.,"Tart and rather savory. Grape, prune, lemon, cocoa in aroma and cup. Quiet but assertive acidity; syrupy mouthfeel. Rich, tart, rather simple finish.","Huila growing region,",,others,medium,Olympia Coffee Roasting Co.,
Colombia Fondo Paez Cooperative Organic, Colombia.,"Crisp, dry, balanced. Dark cocoa, lemon, nut, cedar in aroma and cup. Slightly savory. Soft, lemony acidity; lively, lightly syrupy mouthfeel. Dry, savory cocoa dominates in the finish.","Valle de Cauca,",,others,medium,Conscious Coffees,
Colombia Tolima Finca Las Florestales, Colombia.,"Juicy but bittersweet, slightly savory cup. Red grape, cantaloupe, grapefruit, lavender-like flowers in quiet aroma and crisp cup. Richly round acidity. Lightly syrupy mouthfeel turns juicy as the cup cools. Citrus and floral notes linger in a dry finish.","Tolima growing region,",,others,medium,Portland Roasting,
Colombia Las Mercedes 2011 Cup of Excellence #2 Auction Lot, Colombia.,"Complex, explosively fresh aroma","Huila growing region,",,others,medium,Linking Coffee,
Colombia San Agustin, Colombia.,"Richly and roundly tart. The taste of fresh coffee fruit -- think tart cherry -- and pungent grapefruit dominate in aroma and cup, with softening suggestions of cocoa, almond and caramel. Sweet-toned acidity; lightly syrupy mouthfeel. Dry, resonant finish.","Huila growing region,",,others,medium,Equator Coffees & Teas,
Colombia La Coqueta, Colombia.,"Subtle, deep aromatics","Tolima,",,others,medium,Cafe Grumpy,
Colombia Organic, Colombia.,"Crisp and gently tart. Cocoa, ripe plum, flowers, and a hint of pungent fresh-cut fir in aroma and cup. Rich, forward acidity; lightly syrupy mouthfeel. Balanced, gently flavor-saturated finish.","Valle de Cauca,",,others,medium,DOMA Coffee Roasting Company,
Colombia Piendamo Meseta de Popayan, Colombia.,"Crisp, delicate. Sweet cocoa, fresh-cut fir and complexly layered, gently tart fruit in aroma and cup. Sweet-toned, bright acidity; lightly syrupy mouthfeel. Balanced, delicately rich finish.","Popayan growing region,",,others,medium,Mtn. Air Roasting,
Colombia Martha Cecelia Rojas, Colombia. ,"Refreshing, delicate, very sweet-toned. Orange, lemon, nut, and intense floral notes in aroma and cup. Juicy, wine-like acidity; silky to lightly syrupy mouthfeel. Fades very slightly in an otherwise clean, balanced finish.","Pitalito growing region, Huila Department,",,others,medium,Lone Pine Coffee Roasters,
Colombia Huila Monserrate Yaneth Gil Microlot, Colombia.,"Deep, balanced, intense. Nut, flowers, stonefruit, sweet cocoa in aroma and cup. Sweetly crisp acidity; lively, lightly syrupy mouthfeel. The balance and completeness that characterizes the entire profile stretches into a long, resonant swoon of a finish.","Huila growing region,",,others,medium,Victrola Coffee Roasters,
Sumatra Lintong Fully Washed, Indonesia.,"Elegant, lively notes of moist freshly-fallen leaves, pungent grapefruit and cedar dominate in aroma and cup. Balanced, smoothly bright acidity; syrupy mouthfeel. Rich, sweet, flavor-saturated finish.","Lintong growing district, northern Sumatra,",,others,medium,Café Excellence,
Ethiopia Deep Blue Harrar, Ethiopia.,"Intense, complex aroma","Harrar growing region,",,others,medium,Cafe Excellence,
Espresso Blend,not disclosed,"Evaluated as espresso. Sweet, complex and juicy. Candied lemon, blackberry, orange, sweet cocoa in the aroma. Lightly syrupy mouthfeel with a complimentary dry, astringent edge. Sweet cocoa transforms into a bittersweet, lemon-toned baker’s chocolate in the small cup, complicated by suggestions of slightly scorched cedar and flowers. The citrus-toned chocolate nicely rounds and fattens in two parts milk.",,,others,dark,The Beanery Coffee Roasters,
BC Espresso,not disclosed,"Evaluated as espresso. Brisk and delicate. Green apple, baker’s chocolate, walnuts and apricot in both aroma and cup. Creamy mouthfeel. The walnut and chocolate carry into a rather dry finish but plump up nicely again in two-parts milk while retaining a dry, savory complication.",,,others,dark,Big Creek Coffee Roasters,
Espresso de Tropico,not disclosed,"Evaluated as espresso. Nut-toned caramel and dark chocolate with hints of lemon-like tart fruit and a faint glimmer of fresh mint in aroma and cup. Syrupy mouthfeel; chocolate-toned finish with a tart edge. Delicate in two parts milk, where the chocolate and sweet citrus notes complement one another nicely.",,,others,medium,Paradise Roasters,
Espresso Classico,not disclosed,"Evaluated as espresso. Rich, deep-toned in the small cup",,,others,medium,Paradise Coffee Roasters,
Flores Bajawa Ngura Organic, Indonesia.,"Intense, complex, unorthodox","Flores,",,others,medium,Mystic Monk Coffee,
Colombia El Roble Single Origin Espresso, Colombia.,"Evaluated as espresso. Crisp, sweetly gentle, suave. Honey, orange, grapefruity citrus, fresh-cut fir in the aroma. Light, silky mouthfeel. Turns chocolaty and more distinctly citrusy in the light-bodied, silky cup. Superb flavor-saturated, sweetly clean  finish. In two parts milk the chocolate is nuanced by ripe citrus and a deeper, apricot-toned fruit.","Santander Department,",,others,medium,Terroir Coffee,
Opus One Espresso, Asia and Latin America.,"Evaluated as espresso. Pungent, deep. Cocoa-toned cedar, earth-toned nut, caramel, orange, a hint of flowers in aroma and small cup. All express with particular sweetness in the aroma, and persist nicely in the long, round finish. In two parts milk the flavor turns delicately chocolaty and butter-like.","Africa,",,others,medium,Linking Coffee,
Bolivia “Taipiplaya” Fair Trade Organic Certified, Bolivia.,"Delicate, fresh, balanced. Nut-toned caramel, orange, fir, a hint of flowers in aroma and cup. Gently bright, lemony acidity; smoothly silky mouthfeel. The simple but pleasing aromatics carry straight through to a long, sweet, slightly pungent finish.","Carnavi Province,",,others,medium,Grounds for Change,
Rwanda Dukunde Kawa Cooperative, central Rwanda.,"Tart, bright acidity complements great sweetness","Gakenke growing region,",,others,medium,Coffea Roasterie,
Rwanda,Rwanda.,"Softly pungent maple-toned chocolate in aroma and cup, complicated by a hint of flowers and a crisp apple-like fruit. Pronounced but roast-rounded acidity; lightly syrupy mouthfeel. Sweet, rich but drying finish.",,,others,medium,Big Creek Coffee Roasters,
Concerto Psychedelico “Duo” Espresso,not disclosed,"Evaluated as espresso. Sweet, pungent citrus – grapefruit, orange – and crisp cocoaish chocolate in aroma and small cup. A hint of roses. Full, buttery mouthfeel. The cocoa and sweet, ripe citrus carry into the finish and persist with graceful softness in two parts milk.",,,others,medium,Simon Hsieh's Aroma Roast Coffees,
Kenya AA Top Single Origin Espresso,Central Kenya.,"Evaluated as espresso. Impressive range and complexity. Pungently sweet grapefruit, blackberry, rose-like flowers, fresh-cut fir in aroma and small cup. Full, buttery mouthfeel. Rich, flavor-saturated finish; a hint of astringency in the short smoothes out to cocoaish chocolate in the long. Delicate, berryish fruit and sweet milk chocolate dominate in two parts milk.",,,others,medium,Simon Hsieh's Aroma Roast Coffees,
Ethiopia Yirgacheffe Koke Organic, southern Ethiopia.,"Gently brisk, complex. Zesty lemon and almond in the aroma; a hint of cocoa becomes explicit in the cup, deepening and rounding the zesty citrus. Rich, balanced acidity; silky mouthfeel. Flavor saturates a long, clean finish.","Yirgacheffe growing region,",,others,medium,Vertigo Coffee,
Kenya AA Extra Bold (K-Cup),South-central Kenya.,"(As brewed in a Keurig Platinum B70 single-serve brewing device using a ""K-Cup"" capsule to produce 6-ounce serving)",,,others,dark,Green Mountain Coffee,
Sumatra Reserve Fair-Trade Organic, Indonesia.,"Pungent, deep and roasty. Lightly scorched cedar, nut-toned dark chocolate and hints of flowers and earth in aroma and cup. Roast-muted acidity; leanish mouthfeel. Dark chocolate in particular emerges in a long, rich finish.","Northern Sumatra,",,others,medium,Green Mountain Coffee,
Ethiopia Yirgacheffe Gedeo Worka Fair Trade Organic Certified, southern Ethiopia.,"Intense, sweetly bright, crisp yet lush. Layered fruit – berry, nectarine, green apple – are complicated by fresh-cut fir and almond in aroma and cup. Rich, roundly tart acidity; lightly syrupy mouthfeel. The powerful aromatics fade just slightly in a drying finish.","Yirgacheffe growing region,",,others,light,JBC Coffee Roasters,
Kenya Meru Kinjo Peaberry, central Kenya.,"Gracefully intense aromatics with suggestions of lemon blossom, tart plum and apple round into a sweet-toned cup","Meru County,",,others,medium,JBC Coffee Roasters,
El Salvador Santa Rita, El Salvador.,"Honey, fresh-cut fir and deeply layered, savory-sweet fruit","Santa Rita growing region,",,others,medium,Lexington Coffee Roasters,
Brothers Espresso,not disclosed,"Evaluated as espresso. Cherryish brandy, peach, dark chocolate in the impressive aroma. Round, syrupy mouthfeel with a dry edge that carries into a complex small cup",,,others,medium,Conscious Cup Coffee Roasters,
Mexico Chiapas El Triunfo Biosphere Fair Trade Organic, Mexico.,Very sweet-toned coffee,"Chiapas,",,others,medium,Conscious Cup Coffee Roasters,
Guatemala Huehuetenango Fair Trade Certified, Guatemala.,Sweetly tart,"Huehuetenango growing region,",,others,medium,Conscious Cup Coffee Roasters,
Sumatra Mandheling Fair Trade Certified, Indonesia.,"Balanced, quietly complex traditional Sumatra profile. Gently pungent, sweet-toned in aroma and cup","Northern Sumatra,",,others,medium,Conscious Cup Coffee Roasters,
Black Bar Espresso,not disclosed,"Evaluated as espresso. Deep and balanced aromatics that suggest tart green apple, sweet plum with jasmine-like flowers that follow into the small cup and comingle with cocoa powder, citrus zest, walnut and a spicy note that is reminiscent of cinnamon or ginger. Leanish mouthfeel with a slightly syrupy edge. Cocoa powder turns to a bakers chocolate and the spicy note transforms into cedar-like aromatic wood in a dry finish. Nicely balanced in two-thirds milk; bakers chocolate persists while the steamed milk adds a sweet nuttiness.",,,others,medium,Black Bar Cafe,
Original Blend,not disclosed,"Delicate, perhaps a bit subdued. Vaguely sweet-toned, slightly cardboardy aroma with hints of flowers, nut, and raisiny dark chocolate. Gentle, muted acidity; smooth, almost silky mouthfeel. Very simple in the cup; bare hints of lemon, cocoaish nut, flowers perhaps. Clean finishing; rich in the short but flavor fades quickly in the long.",,,others,medium,Dunkin' Donuts,
Veranda Blend,Latin America.,"Sweet-toned, balanced but rather monotoned. Pineapple, orange, cedary dark chocolate in aroma and cup, dampened throughout by a woody flatness. Muted acidity; slightly lean mouthfeel. Clean, round but simple finish.",,,others,medium,Starbucks Coffee,
Cafe Domingo,Latin America.,"A straightforward, rather plain coffee. Most complex in the sweet, gently pungent aroma",,,others,medium,Peet's Coffee & Tea,
Willow Blend,Latin America; East Africa.,Pleasing aroma,,,others,medium,Starbucks Coffee,
House Blend,Latin America; East Africa.,Impressive aroma,,,others,medium,Stumptown Coffee Roasters,
Holler Mountain Organic,Latin America; Indonesia.,"Robust, strong-gestured coffee. Nut, citrus, fresh-cut fir and a deep, apricot-like sweetness in aroma and cup. The acidity is rich and complex though slightly astringent; the mouthfeel full though a little rough-textured. Rich finish with a salty-savory edge.",,,others,medium,Stumptown Coffee Roasters,
Cafe Solano,Africa; the Americas; Indonesia,"Balanced, quietly rich",,,others,medium,Peet's Coffee & Tea,
Farm House Organic,Peru; Ecuador,"Tart, sweetly bright, complex. Lemon, jasmine-like flowers, cocoaish nut, fresh-cut fir in aroma and cup. Fine, wine-like acidity; light but smooth, silky mouthfeel. The flavor-saturated finish is drying in the short but sweet and juicy in the long.",,,others,medium,Counter Culture Coffee,
Kenya Gethumbwini, South-central Kenya.,"Crisp and complexly cocoa-toned in aroma and cup, with a tart, pungent berry complication and a hint of lilyish flowers. Bright acidity; light but very silky mouthfeel. Clean, dry, cocoa-toned finish.","Thika Region,",,others,medium,Kuma Coffee,
Ethiopia Tuktant Natural Process, Ethiopia.,"Floral, strawberry-like sweetness in the aroma with a hint of dry, walnut-toned cocoa. Turns pleasingly bittersweet in the cup, with the cocoa coming forward and the flowers turning pungently lavender-like. Crisp acidity; lushly syrupy mouthfeel. The finish is deep and flavor-saturated when the cup is hot; dries toward walnut as it cools.","Nekempte Region,",,others,medium,Barrington Coffee Roasting Co.,
Bali Kintamani Organic Natural Process, Indonesia,"Soaringly sweet, complexly layered aroma and flavor","Kintamani, Bali,",,others,light,Bard Coffee,
Burundi Kayanza, Burundi.,"Striking, pungently tart, savory-sweet cup. Fir, roasted almond, zesty orange, cocoa, bitterish flowers in aroma and cup. Bright, fruit-toned acidity; syrupy mouthfeel. The zesty orange carries into a long, cocoa-toned finish.","Kayanza Province,",,others,medium,Bard Coffee,
Colombian Fair Trade Select,Colombia,"Unusual and complex aromatics. Intense, sweetly pungent, slightly savory",,,others,medium,Green Mountain Coffee,
Nantucket Blend (K-Cup),East Africa; Indonesia; the Americas.,"(As brewed in a Keurig Special Edition B60 single-serve brewing device using a ""K-Cup"" capsule to produce 6-ounce serving)",,,others,dark,Green Mountain Coffee,
Gourmet Blend Regular,not disclosed,"A hard, medicinal taint dominates in aroma, cup and finish, only partly softened by hints of sweet cocoa and almond. Muted but bitterish acidity; lean mouthfeel.",,,others,medium,Hevla Coffee,
House Blend,not disclosed,"Flat, woody sensations almost completely dominate, probably owing to the acid-reducing, super-slow roasting process exacerbating a mild mustiness in one or more of the component green coffees. Lean but smooth mouthfeel. We may have picked up some softening apricot-like fruit in aroma and cup.",,,others,medium,Puroast,
