coffee_title,coffee_origin,roaster_name,variety,production,roast_level,flavour
Chucho Blend,Guatemala,Method Coffee Roasters,TupiRed Catuai,Washed,Medium,Berry Sour  Aromatics Fresh
Gildardo Lopez,Rwanda,Cartwheel,Mundo Novo,"Natural, Anaerobic or Macerated",Light,Tobaco Nutty  Cocoa Molasses Honey Vanilla Sweet Raisin Dried  Fruit Fresh
Flor De Laranjeira Ground Coffee,Nicaragua,Cafezinho,Typica,Washed,Medium Dark,Nutty Chocolate Peach
Florada De Maio Ground Coffee,Colombia,Cafezinho,Colombia,Honey,Light,Roasted Hazelnut Dark  Chocolate Cocoa Nutty  Cocoa Honey Vanilla Sweet
Espresso Blend - (brazil - Ethiopia),Colombia,The Roasting Shed,Typica,Honey,Medium,Vanilla Black  Tea Floral Apple Other  Fruit Fruity Fresh
Brazil Bom Jesus (limited Edition),Colombia,Lost Barn,Bourbon,"DecafWashed, Sugarcane (E.A.)",Medium,Floral Floral Berry Dried  Fruit Grape
Indonesian Old Brown Java,Kenya,On The Grind,CastilloColombiaCaturra,Natural,Green,Nutty Chocolate Sweet Peach
San Ceyatano Decaf - Colombia,Colombia,Old Spike,CaturraCatuai,Natural,Medium,Honey Sweet Strawberry Raisin Other  Fruit Citrus  Fruit Fruity
Serrano Lavado Superior,Uganda,Indy Coffee,CaturraTypicaCatuai,Natural,Medium,Dark  Chocolate
10: Phetlamka,Mexico,Fortitude,Red Bourbon,"DecafNatural, Sugarcane (E.A.)",,Brown  Sugar
Kinini Kcrs Women'S Co-Op | Great Taste Award Winner,Brazil,Edgcumbes,SL-34,Washed,,Cinnamon Floral Floral Blackberry Blueberry Fruity
"Jairo Arcila, Colombia (strawberry Honey)",Papua New Guinea,Campbell & Syme,Ethiopia / Sudan AssesionRobiaceae Coffea,Washed,,Nutmeg Caramelized Brown  Sugar Sweet Citrus  Fruit
"Costa Rica, Coopedota",Ethiopia,Quantum Roasters,CastilloColombia,Washed,,Chocolate Maple  Syrup Cherry Citrus  Fruit
Decaf - Colombia Tumbaga,South America,Craft House Coffee,CaturraBourbonTypica,Honey,,Honey Raspberry Raisin Orange Citrus  Fruit Fruity
"Izuba Natural, Burundi",North & Central America,Lost Horizon,Mundo NovoCaturraPacamaraCatuai,"DecafWashed, Sugarcane (E.A.)",,Cinnamon Spices Dark  Chocolate Caramelized Brown  Sugar Vanilla Sweet
Gulmarg Sl34 (kenya),Colombia,Maude Coffee,Arabica,Washed,,Berry Orange Fruity
Gigesa | Ethiopia,Brazil,Vagabond,PacasBourbon,Washed,,Nutmeg Spices Chocolate Nutty  Cocoa Molasses Caramelized Honey Vanilla Sweet Dried  Fruit Citrus  Fruit
Popayan (decaf),Brazil,Hermanos,CastilloCaturra,Washed,,Cereal Spices Almond Chocolate Vanilla Sweet Berry Lemon Citrus  Fruit Fruity
Blend,Brazil,Poblado Coffi,Bourbon,Washed,,Molasses Vanilla Berry Lemon Citrus  Fruit Fresh
La Manuela,Ethiopia,Edgcumbes,Bourbon,Washed,,Molasses Caramelized Vanilla Peach
Mexico - Finca Muxbal . Speciality 84+,Brazil,River City,Ethiopia / Sudan Assesion,"DecafWashed, Swiss Water",,Cinnamon Cocoa Honey Peach Other  Fruit
Brazilian Love Affair,Indonesia,200 Degrees,Castillo,Washed,,Peach
Elemental Blend,Colombia,Littlestone,Java (Cultivar),Washed,,Raisin Peach
El Salvador Finca San Ernesto,Ethiopia,Grain and Grind,CaturraPache ComumTypica,Washed,,Nutty Chocolate Cocoa Nutty  Cocoa Orange
Colombia Decaf,Rwanda,Roastworks,SL-34SL-28,Washed,,Nutty  Cocoa Molasses Caramelized Vanilla Sweet Peach
Finca Matilde,Colombia,Coffee Real,Caturra,Natural,,Maple  Syrup Berry
Raw Green El Salvador Chalcuapa,Costa Rica,On The Grind,Ethiopia / Sudan AssesionColombiaCaturra,Washed,,Nutty Caramelized Honey Sweet
Extract Coffee Bags - Worka Wuri (pack Of 16),Colombia,Extract,Bourbon,"DecafWashed, Swiss Water",,Raisin Orange Lemon
Rudy Lopez Finca La Montaña,Burundi,Crankhouse Coffee,CaturraTypica,Natural,,Black  Tea Grape
Indonesia Java,Kenya,Indy Coffee,Castillo,Washed,,Other  Fruit
Decaf Todosantarita,Ethiopia,Atkinsons,Ethiopia / Sudan AssesionRobiaceae Coffea,Washed,,Nutty Sweet Berry Fruity
Kenya — Kigwandi Aa,Mexico,Assembly,Robiaceae Coffea,Washed,,Lime
Assam Blend Tea,Colombia,Atkinsons,TypicaHybrido de Timor,,,Honey Berry Other  Fruit
Guara Verde,South America,Stirling Coffee,,,,Dark  Chocolate Sweet Fruity
Nicaraguan Estelli,Colombia,On The Grind,,,,Nutty Chocolate Caramelized Vanilla Sweet Fermented Salty
Hay Blend,Mexico,Method Coffee Roasters,,,,Chocolate Brown  Sugar Other  Fruit Sour
"Galapagos, San Cristobal",Brazil,Quantum Roasters,,,,Maple  Syrup Sweet Floral Other  Fruit Fruity
Raw Green Colombian Excelso Swd,Costa Rica,On The Grind,,,,Chocolate Sweet Raisin Orange
Felipe Restrepo,Peru,River,,,,Chocolate Sweet Berry Citrus  Fruit Fruity
Iyego,Kenya,Origin,Robiaceae Coffea,Honey,Medium,Smoky Roasted Pepper Spices Caramelized Brown  Sugar Sweet
Ethiopia - Yirgacheffe Beloya - Natural,Ethiopia,Black Cat Coffee,Typica,Natural,Medium,Sweet Jasmine Berry Peach Citrus  Fruit
The Alchemist 003 Finca Soledad - Ecuador,Ecuador,Macondo,Arabica,Natural,Medium Light,Molasses Caramelized Berry Citrus  Fruit Fruity
Kropp,Guatemala,Forge Coffee Roasters,CaturraBourbon,Natural,Medium,Chocolate Caramelized Brown  Sugar Cherry
Brazil (daterra) Coffee,Ethiopia,Cotswold Coffee Roasters,Yellow Catuai,Washed,Light,Dark  Chocolate Caramelized
Brazil -Santos Coffee,Brazil,Two Dogs,CastilloColombia,Washed,Medium,Cocoa Caramelized Honey Brown  Sugar Sweet Floral Floral Strawberry Grapefruit Orange Fruity Winey
"Single Origin: Esperança, Brazil",Brazil,Climpson & sons,Bourbon,Washed,Medium,Spices Chocolate Vanilla Sweet Lemon Citrus  Fruit Winey
Colombia El Eden,Brazil,Yellow Bourbon,Colombia,Washed,Dark,Nutty  Cocoa Vanilla Floral Dried  Fruit Pear Whiskey
Rwanda - Tumba - Washed,Colombia,Dear Green,Catuai,Natural,Light,Peanuts Chocolate Molasses Caramelized
Type 5 Blend,Rwanda,Campervan Coffee Co,Typica,"Natural, Monsooned",Medium,Berry Grape Apple Citrus  Fruit
Fazenda Inhame | Brazil,Brazil,Roast Lab,Bourbon,Washed,Dark,Hazelnut Chocolate Citrus  Fruit
Malaysia Monsoon Malabar,Colombia,Green Farm,CaturraBourbon,Natural,Medium,Spices Chocolate Berry
"Karambi Washed, Rwanda - Filter Roast",Brazil,Pharmacie,Yellow Bourbon,Natural,Dark,Chocolate Caramelized Vanilla Sweet Other  Fruit Citrus  Fruit
Brazil Santos Ny 2/3 Scr 17/18,Malaysia,CoffeeMango,CaturraBourbon,"DecafWashed, Sparkling Water (CO2)",Medium Light,Chocolate Caramelized Sweet Fruity
Tres Barras Select - Brazilian,India,Devon Coffee Company,CaturraBourbonTypica,Washed,Medium,Chocolate Caramelized Sweet Raisin Dried  Fruit
Coffee Pack (3 X,Rwanda,Hot Numbers,ArabicaRuiru 11BatianSL-28,Washed,Light,Raspberry Fruity Winey
Dim Caf,Brazil,Welsh Coffee,SL-28,Washed,Medium,Vanilla Blueberry Strawberry
Peru,Brazil,Loud Mouth Coffee,Castillo,Washed,Medium,Peach
Kenya Vava,El Salvador,Chimney Fire Coffee,CaturraPache ComumBourbon,Washed,Light,Sweet Strawberry Berry Fruity
"Sable Farm, Malawi (1kg)",Guatemala,Root & Branch,Bourbon,Washed,Dark,Roasted
Colombian Supremo,Peru,On The Grind,CastilloColombiaCaturra,Washed,Medium,Nutmeg Clove
Guatemala Shb Ep La Pastora - Fraijanes Rfa,Kenya,Two Dogs,CastilloColombia,Washed,Dark,Sweet Floral Pineapple Other  Fruit
Rwanda Twongerekawa,Malawi,Perception Coffee,Red Catuai,Natural,Dark,Chocolate Nutty  Cocoa Vanilla Sweet
House Espresso | San Lorenzo | Colombia,Colombia,Curve,CaturraBourbonTypica,Washed,Dark,Chocolate Caramelized Orange Sour
"San Lorenzo, Colombia",Guatemala,Garage Coffee,Arabica,Washed,Medium,Hazelnut Nutty Strawberry Pear Orange
Brazil Nutela Natural,Rwanda,Sabins,TypicaHybrido de Timor,"DecafWashed, Mountain Water",Medium Light,Other  Fruit Grapefruit Citrus  Fruit Fruity
Colombian Antioquia,Colombia,On The Grind,TypicaRobiaceae CoffeaSL-28,Washed,Light,Chocolate Brown  Sugar Sweet Cherry Raw Fresh
High Mountain Blend,Brazil,Green Farm,Coffea CaneforaRobiaceae Coffea,Washed,Medium,Brown  Sugar Sweet Raisin Dried  Fruit Apple
"Single Estate, Finca La Florida - Colombia",Colombia,Silver Oak,CastilloYellow CatuaiMundo NovoColombiaCaturraRed Catuai,Washed,Dark,Cocoa Brown  Sugar Sweet Peach Orange Citric  Acid
Uganda - Drugar Mountain Decaf,Brazil,On The Grind,Arabica,Honey,Medium,Chocolate Vanilla Raspberry Orange
Lacau,Cameroon,Max Fronteras,Arabica,Washed,Medium,Roasted Peanuts Chocolate Nutty  Cocoa Honey Vanilla Orange
Tanzania Majinja,South America,On The Grind,Colombia,Washed,Light,Honey Peach
"Segundo Estela Vasquez, Peru— Espresso Roast",North & Central America,Pharmacie,Ethiopia / Sudan AssesionColombia,Washed,Dark,Nutty Cocoa Vanilla
Monte Viso,Colombia,Coffee Direct,Ethiopia / Sudan AssesionRobiaceae Coffea,Washed,Medium,Nutty Chocolate Sweet Berry
The Truth,Uganda,Roastworks,CastilloColombiaCaturra,Natural,Dark,Chocolate Molasses Caramelized Apple Orange
Costa Rica Tarrazú,Timor,Indy Coffee,Caturra,Honey,Medium Dark,Hazelnut Chocolate Molasses Caramelized
No 55. - Brazil,Tanzania,Backyard Coffee,Yellow Catuai,Natural,Medium,Nutty Dark  Chocolate Caramelized
Costa Rica Aspoproaa,Peru,The Roasting Party,Yellow CatuaiRed Catuai,Washed,Medium Light,Hazelnut Nutty Chocolate Sweet
Colombia Pachamama,Brazil,Peaberry Coffee Roasters,Yellow Bourbon,Washed,Light,Chocolate Caramelized Sweet Berry Dried  Fruit
Orchard Blend,Guatemala,Sustain,Typica,Natural,Dark,Dark  Chocolate Nutty  Cocoa Sweet Floral Floral
Ethiopia Chelbesa Washed Microlot,India,Bailies Coffee,Colombia,Washed,Medium Light,Hazelnut Almond Chocolate Vanilla Floral Floral Herb like
La Arabia *organic,Brazil,Passion Fruit,Ethiopia / Sudan AssesionRobiaceae Coffea,Washed,Medium,Nutty Dark  Chocolate Molasses Caramelized
Nicaragua - El Recuerdo,Colombia,Jolly Bean,Tabi,Honey,Light,Roasted Molasses Caramelized Other  Fruit Grapefruit
Carpe Diem Espresso Blend,Costa Rica,Well Roasted,CaturraBourbonCatuai,Washed,Dark,Nutty Chocolate Sweet Citrus  Fruit
Brazil - Rancho Grande,Brazil,Crown & Canvas,CaturraPacasPacamaraBourbonTypicaLempiraCatuai,Natural,Medium,Dark  Chocolate Cocoa Maple  Syrup Floral Strawberry Berry Pear
Candover Blend,Costa Rica,Moonroast,Bourbon,Honey,Dark,Smoky Spices
Costa Rica Coffee Tarrazu,Colombia,Winchester Coffee Roasters,ColombiaBourbon,Washed,Dark,Spices Vanilla Sweet Floral Other  Fruit Lemon
Fazenda Santa Lúcia,Brazil,Monmouth Coffee,CastilloColombiaCaturra,Washed,Medium,Nutty Dark  Chocolate Sweet Raisin Dried  Fruit Sour Other
Vietnam G1,Nicaragua,On The Grind,Mundo NovoIcatuTupiAcaiaCatuai,Washed,Light,Caramelized Brown  Sugar Berry
Dark Matter Colombia / Mexico,Colombia,The Roasting Project,Ethiopia / Sudan Assesion,Washed,Dark,Nutty Honey Sweet Floral
The Donkey Sanctuary Coffee,Ethiopia,Three Ridings Coffee,Ethiopia / Sudan AssesionRobiaceae Coffea,"DecafNatural, Sugarcane (E.A.)",Medium,Honey Jasmine Peach
Umbra  Blend,Ethiopia,Bailies Coffee,ColombiaBourbon,Washed,Light,Vanilla Sweet Floral Peach Grapefruit Citrus  Fruit
Santo Domingo Teojomulco,Colombia,Crankhouse Coffee,CastilloColombiaTypica,"DecafWashed, Sugarcane (E.A.)",Light,Brown  Sugar Orange Lemon
Colombia | Robinson Rivera,Nicaragua,Hundred House,Bourbon,Natural,Dark,Hazelnut Chocolate Sweet Dried  Fruit
Raw Mexican Siltepec El Jaguar,India,On The Grind,Ethiopia / Sudan Assesion,Honey,Medium,Hazelnut Vanilla Sweet Citrus  Fruit
"Honduras, Amprocal Cooperative",Brazil,Quantum Roasters,CastilloColombiaCaturraBourbonTabiMaragogype,Washed,Medium,Other
El Salvador San Antonio,Peru,Indy Coffee,Red Catuai,Natural,Medium,Chocolate Honey Vanilla
Single Origin Trio,Guatemala,Glen Lyon,CastilloColombiaCaturraTabiTypica,"DecafWashed, Swiss Water",Dark,Nutty Chocolate Nutty  Cocoa Molasses Caramelized Sweet Other
Source Blend,Costa Rica,River,CaturraCatuai,Natural,Medium,Caramelized Blackberry Berry Orange Citrus  Fruit Fruity
Planadas - Colombia Organic,Brazil,Devon Coffee Company,CaturraBourbonCatuai,"Natural, Anaerobic or Macerated",Medium Dark,Dark  Chocolate Nutty  Cocoa Caramelized Vanilla Apple Orange Citrus  Fruit
"Brazil - Single Origin Coffee - Rfa, Mogiana, Sul De Minas, And Cerrado",Vietnam,Sidewalk Coffee,CaturraCatimor / Ateng,"DecafWashed, Sparkling Water (CO2)",Light,Almond Chocolate Molasses Caramelized Sweet Apple Citrus  Fruit
Ethiopia Yirgacheffe Kochere Grade 1,Mexico,The Bean Shop,Bourbon,Washed,Medium,Floral Peach Grapefruit Fruity
Yirgacheffe,Colombia,Ouseburn Coffee Co,Red Catuai,Washed,Light,Overall  Sweet Sweet Berry
Guatemala Coffee,Ethiopia,Winchester Coffee Roasters,Bourbon,Washed,,Nutmeg Brown  Sugar Berry
"Jacqueline’s 87, Guatemala (1kg)",Brazil,Root & Branch,PacasBourbon,Washed,,Chocolate Brown  Sugar Sweet Strawberry Pear Fruity
Colombia Planadas,Indonesia,Fika,CaturraBourbonTypica,Washed,,Nutty Chocolate Orange
The Fat Dragon,Honduras,Fat Dragon,Colombia,"DecafWashed, Sugarcane (E.A.)",,Berry Other  Fruit Citrus  Fruit Fruity Fresh
Ethiopia Beloya,Colombia,UE Coffee Roasters,ColombiaCaturra,Washed,,Chocolate Cherry
Colombia Decaf Huila – Sugarcane Decaf E.a,Mexico,Clifton Coffee,CastilloColombiaCaturra,Washed,,Nutty Chocolate Molasses Caramelized Citrus  Fruit
The Levitating Priest 002 Norma Iris Fiallos - Honduras,Colombia,Macondo,Typica,Washed,,Brown  Sugar Floral Floral Apple
Cafe Del Macay. Decaffeinated ,Mexico,Ancoats,Ruiru 11SL-34BatianSL-28,"DecafNatural, Mountain Water",,Anise Chocolate Floral Other  Fruit
"Personalised - ""two Can Dance"" Brazilian Coffee",Honduras,Three Ridings Coffee,Chandragiri,Honey,,Nutty Nutty  Cocoa Vanilla Sweet Raisin Dried  Fruit
San Lorenzo,El Salvador,Atkinsons,Robiaceae Coffea,Washed,,Dark  Chocolate Cocoa Molasses Caramelized Apple Orange
Raspberry Leaf Organic ~ Rubus Idaeus,Kenya,Two Dogs,Bourbon,Washed,,Caramelized Sweet Grape Citrus  Fruit
Mexico Siltepec El Jaguar,Bolivia,On The Grind,Ruiru 11SL-34BatianSL-28,"DecafWashed, Sparkling Water (CO2)",,Hazelnut Nutty Chocolate Caramelized Sweet Raisin Dried  Fruit Lime Citrus  Fruit Fruity
Zimbabwe - Aa Pezuru Estate,Guatemala,Bean Brothers,Robiaceae Coffea,Natural,,Nutty Chocolate Caramelized Sweet
All Natural Decaffeinated,El Salvador,UE Coffee Roasters,Red Bourbon,Washed,,Sweet Black  Tea Floral Floral
Rwanda | Gitega 278,Peru,Coldblow,Robiaceae Coffea,,,Hazelnut Chocolate Floral Floral Peach
Brazil Fazenda Sao Silvestre,Colombia,Glen Lyon,,,,Chocolate Caramelized Musty  Earthy
Supersizeme Five Arches Decaf 1.25kg,Colombia,Smith Street,,,,Smoky Hazelnut Chocolate Caramelized Citrus  Fruit
Guatemala Nueva Granada Coffee,Brazil,H. R. Higgins,,,,Chocolate Berry Citrus  Fruit
El Mirador Espresso | Colombia,Ethiopia,Notes,,,,Cherry Apple Peach Orange
El Molino De Santa Rita,Ethiopia,Coffee Real,,,,Sweet  Aromatic Peach Fruity
Colombia Medellin Excelso,Guatemala,On The Grind,,,,Peach Pear Fruity
Papua New Guinea _ Korofeigu Organic,Guatemala,Well Roasted,,,,Caramelized Sweet Floral Floral Pineapple Apple Other  Fruit Grapefruit Fruity
"Personalised - ""jumping For Gold"" Colombian Coffee",Colombia,Three Ridings Coffee,,,,Nutty  Cocoa Fruity
Colombia – El Peñol,Colombia,Forge Coffee Roasters,,,,Roasted
"Decaf: La Plata, Colombia",Ethiopia,Climpson & sons,,,,Chocolate Sweet Floral Citrus  Fruit Winey
Papua New Guinea Elimbari,Colombia,Kaffee Culture,,,,Cereal Caramelized Cherry
Kianderi Aa - Kenya,Honduras,Black Rain,,,,Blueberry Strawberry Lemon Citrus  Fruit Fruity
The Classic | India Craigmore Kattimuttu,Colombia,Roastworks,,,,Chocolate Blueberry Strawberry
Yourself - Blend,Indonesia,Coffee Novice,Arabica,Washed,Dark,Roasted Nutty Maple  Syrup Caramelized Honey Sweet Berry Peach Fruity Sour
Colombia El Carmen,Ethiopia,Hard Lines,ColombiaTypica,Natural,Medium Dark,Dark  Chocolate Sweet Dried  Fruit Peach Bitter Other
Marabou,Colombia,Coffee Direct,Ethiopia / Sudan Assesion,"DecafNatural, Swiss Water",Dark,Vanilla Blueberry Strawberry Other  Fruit Fermented Overripe
"The Needle'S Eye: Organic Decaf, Box",Ethiopia,Apostle,TypicaArabicaCatimor / Ateng,Washed,Medium,Chocolate Blueberry Strawberry
Colombia - El Peñol Antioquia - Washed,Indonesia,Black Cat Coffee,CastilloCaturraTypica,Natural,Medium,Nutmeg Hazelnut Brown  Sugar Grape Apple
Costa Rica - Las Lajas Perla Negra,Colombia,Jolly Bean,CaturraCatuai,Washed,Light,Chocolate Cherry Fruity
Mexico Siltepec El Jaguar,Costa Rica,On The Grind,CaturraBourbonCatuai,Natural, Dark,Hazelnut Vanilla
Colombia Mikava 100% Red Bourbon - Natural,Mexico,Dark Woods,ColombiaRed BourbonCera,Washed,Dark,Nutty  Cocoa Vanilla Lemon Citrus  Fruit Vegetative
Captain Caramel Guatemalan Coffee,Colombia,Coffee Wanchors,CaturraBourbon,Washed,Green,Molasses Brown  Sugar Floral Floral Peach
Derek - Seasonal,Guatemala,Bean Brothers,Mundo NovoEthiopia / Sudan AssesionBourbonRobiaceae CoffeaCatuai,Washed,Dark,Nutty Chocolate Caramelized Vanilla Sweet Orange
Gatomboya,El Salvador,Artisan Roast,SL-34SL-28,Washed,Medium,Pineapple Other  Fruit Grapefruit
Inzá,Brazil,Square Mile Coffee,CastilloCaturraBourbonTabiTypica,Honey,Medium,Vanilla Berry Sour  Aromatics Under ripe
"Reina, Costa Rica",Ethiopia,Long & Short,Sarchimor,Washed, Dark,Nutmeg Molasses Caramelized Honey Berry
Guatemala Finca Santa Isabel,Kenya,Welsh Coffee,CaturraCatuai,Washed,Dark,Dark  Chocolate Blackberry Raisin
"Zawadi Peaberry, Kenya",Colombia,Simba Bru,SL-28,Washed,Light,Chocolate Brown  Sugar Vanilla Apple
Coco,Costa Rica,Hundred House,Arabica,Honey,Medium,Nutty Chocolate Nutty  Cocoa Caramelized Sweet Raisin
Hermosa - Costa Rica,Guatemala,Cairngorm,Caturra,Natural,Medium,Cocoa Sweet  Aromatic Grape
House Filter | Jose Maria Rivera | Colombia,Kenya,Curve,Mundo Novo,Washed,Light,Almond Nutty Cocoa Sweet Citrus  Fruit
Brazil - Sitio Cachoeirinha,Costa Rica,Craft House Coffee,Red CaturraBourbonTypica,Natural,Light,Fruity
Peru Tomas Bueno Medina,Colombia,Argyll Coffee Roasters,CastilloTabi,"Natural, Anaerobic or Macerated", Dark,Peanuts Honey Brown  Sugar Floral Pear
La Claudina #3 (filter),Brazil,Round Hill Roastery,Caturra,Washed,Medium,Vanilla Strawberry Berry Pineapple
Panama Rocky Mountain: Manigordo (anaerobic),Peru,Clifton Coffee,CaturraBourbonLempiraCatuaiIHCAFE 90,Washed,Medium Dark,Citrus  Fruit Fruity
Honduras Shg Recuperado Di Cafetal (leaf Rust) Project,Colombia,Two Dogs,Ethiopia / Sudan Assesion,Washed,Dark,Nutty Dark  Chocolate Caramelized Honey Sweet Berry Fruity
Mama Aya - Washed (tanzania),Panama,Maude Coffee,Ruiru 11SL-34K7BatianSL-28,Washed,Medium,Molasses Caramelized Other  Fruit Orange
Rukera Ab,Honduras,Max Fronteras,Caturra,Honey,Light,Roasted Hazelnut Chocolate Berry
The Espresso,Tanzania,Wacka Espresso,TypicaCriollo,Natural,Medium,Nutty Chocolate Raisin
Kokoa Collection Hot Chocolate,Kenya,Land's End Coffee,Rume Sudan,Natural,Dark,Cereal Dark  Chocolate Sweet Dried  Fruit Citrus  Fruit
Peace And Hope - Volcanic And Crisp,Guatemala,Peaberry Coffee Roasters,Villa SarchiCaturraPacasBourbonHybrido de TimorMarsellesaSarchimor,Honey,Dark,Chocolate Caramelized Sweet Berry Apple Fruity
"Colombia, Villamaria",Brazil,Pink Lane Coffee,Red Bourbon,Honey,Medium,Vanilla Sweet Grape Other  Fruit Citrus  Fruit Fruity Musty  Earthy
Drunk,Nicaragua,Unorthodox,PacasBourbonTypicaCatimor / AtengCatuaiS795,"Natural, Monsooned",Medium,Sweet
The “lusty Glaze”,India,Hands On Coffee,CastilloCaturra,Washed,Dark,Floral
Colombia Las Galeras,Costa Rica,Welsh Coffee,CastilloColombiaCaturraYellow Bourbon,Natural,Medium,Nutty Chocolate Nutty  Cocoa
Chocolate Truffle Shuffle Brazilian & Colombian Coffee Blend,Timor,Coffee Wanchors,Typica,"Natural, Anaerobic or Macerated",Green,Dark  Chocolate Cocoa Citrus  Fruit
Twilight Blend,Colombia,Black Cat Coffee,Robiaceae Coffea,Honey,Medium Light,Nutty Dark  Chocolate Cocoa Caramelized Sweet Dried  Fruit Orange
Mexican Coffee Trio,Rwanda,HEJ,CaturraCatuai,Washed,Medium,Almond Chocolate Molasses Caramelized Other  Fruit
"India, Monsoon Malabar",El Salvador,Inverness Coffee Roasting Co.,Yellow BourbonRed Catuai,Natural,Medium,Chocolate Sweet Citrus  Fruit
Ethiopia Ayele (washed),Brazil,Method Coffee Roasters,Arabica,"DecafWashed, Sugarcane (E.A.)",Medium,Chocolate Peach Other  Fruit
Costa Rica Las Lajas Perla Negra,Indonesia,Ristretto,BourbonSL-34SL-28,Washed,Dark,Molasses Brown  Sugar Floral Floral Peach
Onix Nano Lots Duo Pack,Colombia,Smith Street,TabiRume Sudan,Natural,Medium,Cocoa Sweet Dried  Fruit Citrus  Fruit Fruity
Flow Blend,Brazil,River,CastilloColombiaCaturra,Natural,Green,Spices
The Not So Novice - Blend,Colombia,Coffee Novice,TypicaHybrido de Timor,Washed,Medium,Roasted Nutty Dark  Chocolate Maple  Syrup
La Union,Asia,Fidela,Mundo NovoIcatuTupiCatuai,Washed,Medium,Chocolate Vanilla Sweet
Kenya - Aa Samburu Estate,Mexico,Bean Brothers,CaturraBourbonTypicaAcaiaCatuai,Natural,Medium,Dark  Chocolate Caramelized Vanilla
Eagle One Prima By Victoria Arduino In Cappellini Green,India,UE Coffee Roasters,Red Catuai,Natural,Light,Chocolate Nutty  Cocoa Vanilla Sweet Citrus  Fruit Sour
Colombia | Decaf - Sugarcane Ea,Ethiopia,Hundred House,Caturra,Natural,Medium Light,Vanilla Blueberry Cherry
Timor-Leste - Rotutu,Costa Rica,Moonroast,Arabica,Natural,Light,Floral Pomegranate
Brazil,Brazil,River City,Red Bourbon,Natural,Light,Sweet Berry Citrus  Fruit Fruity
Sussex Barn | Great Taste Award Winner,Peru,Edgcumbes,Ethiopia / Sudan AssesionRobiaceae CoffeaGesha / Abyssinia,Washed,Medium,Molasses Caramelized Vanilla Cherry
Cachoeria,Brazil,Edgcumbes,Yellow CatuaiTypica,Natural,Medium Light,Chocolate Honey Sweet Other  Fruit
Bs1 Espresso,El Salvador,Triple Co Roast,SL-14NyasalandSL-34SL-28,Honey,Dark,Roasted Nutty Dark  Chocolate Maple  Syrup
Rios De Esperanza,Brazil,Olfactory Coffee,Typica,Washed,Light,Nutty Chocolate Caramelized Brown  Sugar Floral Other  Fruit Fruity Citric  Acid
Burundi Mutambu,India,Argyll Coffee Roasters,Red Bourbon,Washed,Medium,Nutty  Cocoa Sweet
Rocko Mountain,Colombia,Olfactory Coffee,Mundo NovoCaturraCatuai,"DecafWashed, Sugarcane (E.A.)",Medium,Brown  Sugar Sweet Berry Citric  Acid
Brazil Bela Vista,Kenya,Hard Lines,CastilloCaturraTypica,"Natural, Anaerobic or Macerated",Medium,Caramelized Apple
Rwenzori Bugoye (uganda),Colombia,Faodail Roastery,Colombia,Natural,Medium,Caramelized Floral Floral Citrus  Fruit
Pot Luck Coffee,Timor,Cairngorm,Colombia,Washed,Medium,Chocolate Cherry
Raw Green Vietnam Arabica G1,Brazil,On The Grind,Gesha / AbyssiniaCera,Natural,Medium,Tobaco Smoky Spices Musty  Earthy
Rwanda Gishyta 117,South America,Ristretto,Nyasaland,"DecafWashed, Sugarcane (E.A.)",Dark,Maple  Syrup Strawberry Peach
Sitio Portella // Brazil,Africa,Yallah,SL-34SL-28,Natural,Medium,Berry
Mexico: Finca Muxbal - Single Origin - 100% Arabica - Newly Arrived,North & Central America,Rinaldo's Coffee,Robiaceae Coffea,Washed,Dark,Sweet Citrus  Fruit
Colombia,Brazil,River City,Caturra,Honey,Dark,Nutmeg Sweet Raisin Citrus  Fruit Fruity
Colombia Cauca Inzá,Colombia,The Roasting Project,Arabica,Washed,Medium,Citrus  Fruit
Assembly Decaf — Colombia,Costa Rica,Assembly,Gesha / Abyssinia,Washed,Medium Dark,Spices Vanilla Sweet Blueberry Strawberry Lime Citrus  Fruit
Queen Gesha,Brazil,Hermanos,CaturraCatucaiSL-34SL-28,DecafHoney,Medium Dark,Honey Vanilla Jasmine Floral Strawberry
Tater Du // Uganda - Natural,Burundi,Land's End Coffee,CastilloColombiaCaturraTypica,Washed,Dark,Chocolate Sweet Floral Citrus  Fruit Fruity
Kenya - Mwiria Aa,Ethiopia,Crown & Canvas,CastilloColombiaCaturra,Honey,Medium,Hazelnut Chocolate Sweet
Italian Espresso Blend,Brazil,On The Grind,ColombiaRobiaceae Coffea,Washed,Medium,Molasses Caramelized Berry Raisin Apple Fruity
"Tres Pioneros, Colombia - Decaf",Uganda,39 Steps,Mundo NovoCaturraCatuai,Honey,Dark,Strawberry Pear Other  Fruit
Ethiopia Gelana Geisha,Rwanda,Triple Co Roast,Catuai,Washed,,Nutty Molasses Maple  Syrup Caramelized
Peru Cajamarca,Brazil,Indy Coffee,CaturraPache ComumBourbonSL-34RobustaSL-28,Washed,,Nutty Chocolate Maple  Syrup Sweet
Red Stag Seasonal,Mexico,Glen Lyon,TypicaHybrido de Timor,Natural,,Caramelized Honey Sweet Lemon
Mártir,Colombia,Blossom,ArabicaObataOro AztecaMarsellesa,"DecafWashed, Sparkling Water (CO2)",,Chocolate Raspberry Apple
Las Brisas // Colombia,Colombia,Yallah,ArabicaYellow Bourbon,Washed,,Roasted
