,coffee_title,coffee_origin,roaster_name,variety,production,roast_level,flavour
1723,Rwanda Twongerekawa,Malawi,Perception Coffee,Red Catuai,Natural,Espresso,NuttyHoneyFloral
1724,House Espresso | San Lorenzo | Colombia,Colombia,Curve,CaturraBourbonTypica,Washed,DarkEspresso,SweetCitrus Fruit
1725,"San Lorenzo, Colombia",Guatemala,Garage Coffee,Arabica,Washed,Omni,ChocolateDark ChocolateCaramelized
1726,Brazil Nutela Natural,Rwanda,Sabins,TypicaHybrido de Timor,"DecafWashed, Mountain Water",Medium Light,BerryRaisinOrange
1727,Colombian Antioquia,Colombia,On The Grind,TypicaRobiaceae CoffeaSL-28,Washed,Light,MolassesCaramelizedSweetFloralGrapeFruitySour
1728,,Colombia,Due Fratelli,CaturraBourbon,Washed,LightFilter,CinnamonHoneyPeach
1729,High Mountain Blend,Brazil,Green Farm,Coffea CaneforaRobiaceae Coffea,Washed,Omni,Dark ChocolateCocoaMolassesCaramelizedBerry
1730,"Single Estate, Finca La Florida - Colombia",Colombia,Silver Oak,CastilloYellow CatuaiMundo NovoColombiaCaturraRed Catuai,Washed,Espresso,Dark ChocolateNutty/CocoaCaramelizedVanillaAppleOrangeCitrus Fruit
1731,Uganda - Drugar Mountain Decaf,Brazil,On The Grind,Arabica,Honey,MediumEspresso,NutmegDark ChocolateSweetRaisinDried FruitFruityWhiskeyFermentedBitter
1732,Lacau,Cameroon,Max Fronteras,Arabica,Washed,MediumFilter,RoastedNuttyFruity
1733,Tanzania Majinja,South America,On The Grind,Colombia,Washed,Filter,AlmondChocolateCaramelizedVanillaSweetCherry
1734,"Segundo Estela Vasquez, Peru— Espresso Roast",North & Central America,Pharmacie,Ethiopia / Sudan AssesionColombia,Washed,Dark,NutmegSpicesHazelnutNuttyNutty/CocoaCaramelizedVanillaCitrus Fruit
1735,Monte Viso,Colombia,Coffee Direct,Ethiopia / Sudan AssesionRobiaceae Coffea,Washed,Medium,NuttyChocolateSweetOrange
1736,The Truth,Uganda,Roastworks,CastilloColombiaCaturra,Natural,Dark,SweetFloralPeachFruity
1737,Costa Rica Tarrazú,Timor,Indy Coffee,Caturra,Honey,Medium DarkOmni,ChocolateMolassesCaramelizedSweetBerryLemonCitrus FruitCitric AcidFermentedOverripe
1738,No 55. - Brazil,Tanzania,Backyard Coffee,Yellow Catuai,Natural,Medium,JasminePeachOrange
1739,Costa Rica Aspoproaa,Peru,The Roasting Party,Yellow CatuaiRed Catuai,Washed,Medium Light,VanillaPeach
1740,Colombia Pachamama,Brazil,Peaberry Coffee Roasters,Yellow Bourbon,Washed,Filter,NuttyChocolateFloralRaspberryCitrus Fruit
1741,Orchard Blend,Guatemala,Sustain,Typica,Natural,Espresso,SweetCitrus Fruit
1742,Ethiopia Chelbesa Washed Microlot,India,Bailies Coffee,Colombia,Washed,Medium LightOmni,Dark ChocolateVanillaRaspberryOther FruitFruity
1743,La Arabia *organic,Brazil,Passion Fruit,Ethiopia / Sudan AssesionRobiaceae Coffea,Washed,Medium,AlmondDark ChocolateCaramelizedSweetAppleBitter
1744,Nicaragua - El Recuerdo,Colombia,Jolly Bean,Tabi,Honey,Light,HazelnutDark ChocolateCitrus Fruit
1745,Carpe Diem Espresso Blend,Costa Rica,Well Roasted,CaturraBourbonCatuai,Washed,Espresso,SmokyNutmegCloveCitrus Fruit
1746,Brazil - Rancho Grande,Brazil,Crown & Canvas,CaturraPacasPacamaraBourbonTypicaLempiraCatuai,Natural,Omni,HoneyFruity
1747,Candover Blend,Costa Rica,Moonroast,Bourbon,Honey,Espresso,SweetFloralFloralLemon
1748,Costa Rica Coffee Tarrazu,Colombia,Winchester Coffee Roasters,ColombiaBourbon,Washed,DarkEspresso,RoastedAlmondDark ChocolateCaramelizedVanillaSweet
1749,Fazenda Santa Lúcia,Brazil,Monmouth Coffee,CastilloColombiaCaturra,Washed,MediumOmni,NuttyChocolateAppleFresh
1750,Vietnam G1,Nicaragua,On The Grind,Mundo NovoIcatuTupiAcaiaCatuai,Washed,Filter,CinnamonSpicesDark ChocolateCaramelizedBrown SugarVanillaSweetOther
1751,Dark Matter Colombia / Mexico,Colombia,The Roasting Project,Ethiopia / Sudan Assesion,Washed,Dark,ChocolateCaramelizedBrown SugarVanillaFloralPearFruity
1752,The Donkey Sanctuary Coffee,Ethiopia,Three Ridings Coffee,Ethiopia / Sudan AssesionRobiaceae Coffea,"DecafNatural, Sugarcane (E.A.)",Omni,ChocolateCaramelizedHoneyVanillaSweet
1753,Umbra  Blend,Ethiopia,Bailies Coffee,ColombiaBourbon,Washed,Filter,CaramelizedBerryOther FruitOverripe
1754,Santo Domingo Teojomulco,Colombia,Crankhouse Coffee,CastilloColombiaTypica,"DecafWashed, Sugarcane (E.A.)",LightFilter,AlmondBerryAppleFresh
1755,Colombia | Robinson Rivera,Nicaragua,Hundred House,Bourbon,Natural,Espresso,NuttyChocolateCaramelizedSweet
1756,Raw Mexican Siltepec El Jaguar,India,On The Grind,Ethiopia / Sudan Assesion,Honey,Medium,SweetFruity
1757,"Honduras, Amprocal Cooperative",Brazil,Quantum Roasters,CastilloColombiaCaturraBourbonTabiMaragogype,Washed,MediumOmni,RoastedSpicesMaple SyrupBrown SugarSweetPeachLemon
1758,El Salvador San Antonio,Peru,Indy Coffee,Red Catuai,Natural,MediumOmni,HazelnutNuttyNutty/CocoaLemonFruity
1759,Single Origin Trio,Guatemala,Glen Lyon,CastilloColombiaCaturraTabiTypica,"DecafWashed, Swiss Water",Dark,AlmondHoneyVanillaLemon
1760,Source Blend,Costa Rica,River,CaturraCatuai,Natural,Omni,ChocolateCaramelizedBerry
1761,Planadas - Colombia Organic,Brazil,Devon Coffee Company,CaturraBourbonCatuai,"Natural, Anaerobic or Macerated",Medium DarkEspresso,AlmondDark ChocolateMolassesCaramelized
1762,"Brazil - Single Origin Coffee - Rfa, Mogiana, Sul De Minas, And Cerrado",Vietnam,Sidewalk Coffee,CaturraCatimor / Ateng,"DecafWashed, Sparkling Water (CO2)",Light,SweetFloralBlackberryFruityBitter
1763,Ethiopia Yirgacheffe Kochere Grade 1,Mexico,The Bean Shop,Bourbon,Washed,MediumEspresso,NuttyMolassesCaramelizedCitric Acid
1764,Yirgacheffe,Colombia,Ouseburn Coffee Co,Red Catuai,Washed,Filter,ChocolateDark ChocolateNutty/CocoaCaramelizedSweetAppleFruity
1765,Guatemala Coffee,Ethiopia,Winchester Coffee Roasters,Bourbon,Washed,,VanillaSweetFloralDried FruitOrangeWhiskey
1766,"Jacqueline’s 87, Guatemala (1kg)",Brazil,Root & Branch,PacasBourbon,Washed,,NuttyCocoaOrange
1767,Colombia Planadas,Indonesia,Fika,CaturraBourbonTypica,Washed,,ChocolateBerry
1768,The Fat Dragon,Honduras,Fat Dragon,Colombia,"DecafWashed, Sugarcane (E.A.)",,Nutty/CocoaHoneySweetFloralRaspberryFruity
1769,Ethiopia Beloya,Colombia,UE Coffee Roasters,ColombiaCaturra,Washed,,CinnamonSpicesDark ChocolateCaramelizedBrown SugarVanillaSweet
1770,Colombia Decaf Huila – Sugarcane Decaf E.a,Mexico,Clifton Coffee,CastilloColombiaCaturra,Washed,,SweetFloralBerryCitrus Fruit
1771,The Levitating Priest 002 Norma Iris Fiallos - Honduras,Colombia,Macondo,Typica,Washed,,NuttyChocolateCaramelized
1772,Cafe Del Macay. Decaffeinated ,Mexico,Ancoats,Ruiru 11SL-34BatianSL-28,"DecafNatural, Mountain Water",,CaramelizedSweetBerryOrange
1773,"Personalised - ""two Can Dance"" Brazilian Coffee",Honduras,Three Ridings Coffee,Chandragiri,Honey,,HazelnutChocolateSweetFruity
1774,San Lorenzo,El Salvador,Atkinsons,Robiaceae Coffea,Washed,,HazelnutChocolateMolassesCaramelized
1775,Raspberry Leaf Organic ~ Rubus Idaeus,Kenya,Two Dogs,Bourbon,Washed,,RaspberryApplePeach
1776,Mexico Siltepec El Jaguar,Bolivia,On The Grind,Ruiru 11SL-34BatianSL-28,"DecafWashed, Sparkling Water (CO2)",,NuttyCocoaSweet
1777,Zimbabwe - Aa Pezuru Estate,Guatemala,Bean Brothers,Robiaceae Coffea,Natural,,SweetBerryOther FruitCitrus FruitCitric Acid
1778,All Natural Decaffeinated,El Salvador,UE Coffee Roasters,Red Bourbon,Washed,,CaramelizedSweetCitrus Fruit
1779,Rwanda | Gitega 278,Peru,Coldblow,Robiaceae Coffea,,,SpicesChocolateMaple Syrup
1780,Brazil Fazenda Sao Silvestre,Colombia,Glen Lyon,,,,HazelnutNuttyCaramelizedSweet
1781,Supersizeme Five Arches Decaf 1.25kg,Colombia,Smith Street,,,,RaspberryBerryAppleOther Fruit
1782,Guatemala Nueva Granada Coffee,Brazil,H. R. Higgins,,,,Dark ChocolateCaramelizedOrange
1783,El Mirador Espresso | Colombia,Ethiopia,Notes,,,,ChocolateCaramelizedGrapefruitCitrus FruitFruity
1784,El Molino De Santa Rita,Ethiopia,Coffee Real,,,,BerrySour AromaticsFresh
1785,Colombia Medellin Excelso,Guatemala,On The Grind,,,,TobacoNutty/CocoaMolassesHoneyVanillaSweetRaisinDried FruitFresh
1786,Papua New Guinea _ Korofeigu Organic,Guatemala,Well Roasted,,,,NuttyChocolatePeach
1787,"Personalised - ""jumping For Gold"" Colombian Coffee",Colombia,Three Ridings Coffee,,,,RoastedHazelnutDark ChocolateCocoaNutty/CocoaHoneyVanillaSweet
1788,Colombia – El Peñol,Colombia,Forge Coffee Roasters,,,,VanillaBlack TeaFloralAppleOther FruitFruityFresh
1789,"Decaf: La Plata, Colombia",Ethiopia,Climpson & sons,,,,FloralFloralBerryDried FruitGrape
1790,Papua New Guinea Elimbari,Colombia,Kaffee Culture,,,,NuttyChocolateSweetPeach
1791,Kianderi Aa - Kenya,Honduras,Black Rain,,,,HoneySweetStrawberryRaisinOther FruitCitrus FruitFruity
1792,The Classic | India Craigmore Kattimuttu,Colombia,Roastworks,,,,SpicesAlmondNutty/CocoaVanillaDried FruitOther FruitOrangeFruityWhiskey
1793,A Flightless Bird Decaf Coffee,Brazil,Three Ridings Coffee,,,,
1794,Drake,Costa Rica,The Roasting Party,,,,
1795,Rwanda Inzovu,Mexico,On The Grind,,,,
1796,Kangocho Aa | Kenya,Zimbabwe,Notes,,,,
1797,Decaf,Brazil,River City,,,,
1798,Cyato - Rwanda,Rwanda,The Roasting Shed,,,,
1799,Santa’s Stollen Clems,Burundi,Coffee Wanchors,,,,
1800,Yourself - Blend,Indonesia,Coffee Novice,Arabica,Washed,DarkEspresso,Dark Chocolate
1801,Colombia El Carmen,Ethiopia,Hard Lines,ColombiaTypica,Natural,Medium Dark,Brown Sugar
1802,Marabou,Colombia,Coffee Direct,Ethiopia / Sudan Assesion,"DecafNatural, Swiss Water",Espresso,CinnamonFloralFloralBlackberryBlueberryFruity
1803,"The Needle'S Eye: Organic Decaf, Box",Ethiopia,Apostle,TypicaArabicaCatimor / Ateng,Washed,Omni,NutmegCaramelizedBrown SugarSweetCitrus Fruit
1804,Colombia - El Peñol Antioquia - Washed,Indonesia,Black Cat Coffee,CastilloCaturraTypica,Natural,Medium,ChocolateMaple SyrupCherryCitrus Fruit
1805,Costa Rica - Las Lajas Perla Negra,Colombia,Jolly Bean,CaturraCatuai,Washed,Light,HoneyRaspberryRaisinOrangeCitrus FruitFruity
1806,Mexico Siltepec El Jaguar,Costa Rica,On The Grind,CaturraBourbonCatuai,Natural,Extra DarkEspresso,CinnamonSpicesDark ChocolateCaramelizedBrown SugarVanillaSweet
1807,Colombia Mikava 100% Red Bourbon - Natural,Mexico,Dark Woods,ColombiaRed BourbonCera,Washed,Espresso,BerryOrangeFruity
1808,Captain Caramel Guatemalan Coffee,Colombia,Coffee Wanchors,CaturraBourbon,Washed,GreenFilter,NutmegSpicesChocolateNutty/CocoaMolassesCaramelizedHoneyVanillaSweetDried FruitCitrus Fruit
1809,Derek - Seasonal,Guatemala,Bean Brothers,Mundo NovoEthiopia / Sudan AssesionBourbonRobiaceae CoffeaCatuai,Washed,Espresso,CerealSpicesAlmondChocolateVanillaSweetBerryLemonCitrus FruitFruity
1810,Gatomboya,El Salvador,Artisan Roast,SL-34SL-28,Washed,MediumEspresso,MolassesVanillaBerryLemonCitrus FruitFresh
1811,Inzá,Brazil,Square Mile Coffee,CastilloCaturraBourbonTabiTypica,Honey,MediumFilter,MolassesCaramelizedVanillaPeach
1812,"Reina, Costa Rica",Ethiopia,Long & Short,Sarchimor,Washed,Extra DarkEspresso,CinnamonCocoaHoneyPeachOther Fruit
1813,Guatemala Finca Santa Isabel,Kenya,Welsh Coffee,CaturraCatuai,Washed,Espresso,Peach
1814,"Zawadi Peaberry, Kenya",Colombia,Simba Bru,SL-28,Washed,Filter,RaisinPeach
1815,Coco,Costa Rica,Hundred House,Arabica,Honey,Omni,NuttyChocolateCocoaNutty/CocoaOrange
1816,Hermosa - Costa Rica,Guatemala,Cairngorm,Caturra,Natural,Omni,Nutty/CocoaMolassesCaramelizedVanillaSweetPeach
1817,House Filter | Jose Maria Rivera | Colombia,Kenya,Curve,Mundo Novo,Washed,Filter,Maple SyrupBerry
1818,Brazil - Sitio Cachoeirinha,Costa Rica,Craft House Coffee,Red CaturraBourbonTypica,Natural,Filter,NuttyCaramelizedHoneySweet
1819,Peru Tomas Bueno Medina,Colombia,Argyll Coffee Roasters,CastilloTabi,"Natural, Anaerobic or Macerated",Extra Dark,RaisinOrangeLemon
1820,La Claudina #3 (filter),Brazil,Round Hill Roastery,Caturra,Washed,Omni,Black TeaGrape
1821,Panama Rocky Mountain: Manigordo (anaerobic),Peru,Clifton Coffee,CaturraBourbonLempiraCatuaiIHCAFE 90,Washed,Medium DarkEspresso,Other Fruit
1822,Honduras Shg Recuperado Di Cafetal (leaf Rust) Project,Colombia,Two Dogs,Ethiopia / Sudan Assesion,Washed,Espresso,NuttySweetBerryFruity
1823,Mama Aya - Washed (tanzania),Panama,Maude Coffee,Ruiru 11SL-34K7BatianSL-28,Washed,Omni,Lime
1824,Rukera Ab,Honduras,Max Fronteras,Caturra,Honey,LightFilter,HoneyBerryOther Fruit
1825,The Espresso,Tanzania,Wacka Espresso,TypicaCriollo,Natural,Omni,Dark ChocolateSweetFruity
1826,Kokoa Collection Hot Chocolate,Kenya,Land's End Coffee,Rume Sudan,Natural,Espresso,CaramelizedBerry
1827,Peace And Hope - Volcanic And Crisp,Guatemala,Peaberry Coffee Roasters,Villa SarchiCaturraPacasBourbonHybrido de TimorMarsellesaSarchimor,Honey,DarkEspresso,NuttyChocolateCaramelizedVanillaSweetFermentedSalty
1828,,Venezuela,PRESS Coffee & Co.,CastilloColombiaRobiaceae Coffea,Natural,Extra Dark,Honey
1829,"Colombia, Villamaria",Brazil,Pink Lane Coffee,Red Bourbon,Honey,MediumEspresso,ChocolateBrown SugarOther FruitSour
1830,Drunk,Nicaragua,Unorthodox,PacasBourbonTypicaCatimor / AtengCatuaiS795,"Natural, Monsooned",Omni,Maple SyrupSweetFloralOther FruitFruity
1831,The “lusty Glaze”,India,Hands On Coffee,CastilloCaturra,Washed,Dark,ChocolateSweetRaisinOrange
1832,Colombia Las Galeras,Costa Rica,Welsh Coffee,CastilloColombiaCaturraYellow Bourbon,Natural,Omni,ChocolateSweetBerryCitrus FruitFruity
1833,Chocolate Truffle Shuffle Brazilian & Colombian Coffee Blend,Timor,Coffee Wanchors,Typica,"Natural, Anaerobic or Macerated",GreenEspresso,NuttyChocolateCocoaNutty/CocoaCaramelizedVanillaSweetOther FruitFruity
1834,Twilight Blend,Colombia,Black Cat Coffee,Robiaceae Coffea,Honey,Medium Light,BurntNuttyChocolateDark ChocolateMolassesMaple SyrupCaramelizedSweetFloralCitrus FruitBitter
1835,Mexican Coffee Trio,Rwanda,HEJ,CaturraCatuai,Washed,Omni,RoastedSpicesChocolateFloralCardboard
1836,"India, Monsoon Malabar",El Salvador,Inverness Coffee Roasting Co.,Yellow BourbonRed Catuai,Natural,MediumOmni,SmokyRoastedPepperSpicesCaramelizedBrown SugarSweet
1837,Ethiopia Ayele (washed),Brazil,Method Coffee Roasters,Arabica,"DecafWashed, Sugarcane (E.A.)",Medium,SweetJasmineBerryPeachCitrus Fruit
1838,Costa Rica Las Lajas Perla Negra,Indonesia,Ristretto,BourbonSL-34SL-28,Washed,Espresso,MolassesCaramelizedBerryCitrus FruitFruity
1839,Onix Nano Lots Duo Pack,Colombia,Smith Street,TabiRume Sudan,Natural,Omni,MaltNutmegChocolateSweetDried FruitGrapeOrange
1840,Flow Blend,Brazil,River,CastilloColombiaCaturra,Natural,Green,ChocolateCaramelizedBrown SugarCherry
1841,The Not So Novice - Blend,Colombia,Coffee Novice,TypicaHybrido de Timor,Washed,Omni,Dark ChocolateCaramelized
1842,La Union,Asia,Fidela,Mundo NovoIcatuTupiCatuai,Washed,Omni,CocoaCaramelizedHoneyBrown SugarSweetFloralFloralStrawberryGrapefruitOrangeFruityWiney
1843,Kenya - Aa Samburu Estate,Mexico,Bean Brothers,CaturraBourbonTypicaAcaiaCatuai,Natural,Medium,SpicesChocolateVanillaSweetLemonCitrus FruitWiney
1844,Eagle One Prima By Victoria Arduino In Cappellini Green,India,UE Coffee Roasters,Red Catuai,Natural,Filter,Nutty/CocoaVanillaFloralDried FruitPearWhiskey
1845,Colombia | Decaf - Sugarcane Ea,Ethiopia,Hundred House,Caturra,Natural,Medium LightOmni,PeanutsChocolateMolassesCaramelized
1846,Timor-Leste - Rotutu,Costa Rica,Moonroast,Arabica,Natural,LightEspresso,BerryGrapeAppleCitrus Fruit
1847,Brazil,Brazil,River City,Red Bourbon,Natural,Filter,HazelnutChocolateCitrus Fruit
1848,Sussex Barn | Great Taste Award Winner,Peru,Edgcumbes,Ethiopia / Sudan AssesionRobiaceae CoffeaGesha / Abyssinia,Washed,MediumOmni,SpicesChocolateBerry
1849,Cachoeria,Brazil,Edgcumbes,Yellow CatuaiTypica,Natural,Medium Light,ChocolateCaramelizedVanillaSweetOther FruitCitrus Fruit
1850,Bs1 Espresso,El Salvador,Triple Co Roast,SL-14NyasalandSL-34SL-28,Honey,Espresso,ChocolateCaramelizedSweetFruity
1851,Rios De Esperanza,Brazil,Olfactory Coffee,Typica,Washed,Filter,ChocolateCaramelizedSweetRaisinDried Fruit
1852,Burundi Mutambu,India,Argyll Coffee Roasters,Red Bourbon,Washed,Omni,RaspberryFruityWiney
1853,Rocko Mountain,Colombia,Olfactory Coffee,Mundo NovoCaturraCatuai,"DecafWashed, Sugarcane (E.A.)",Medium,VanillaBlueberryStrawberry
1854,Brazil Bela Vista,Kenya,Hard Lines,CastilloCaturraTypica,"Natural, Anaerobic or Macerated",MediumOmni,Peach
1855,Rwenzori Bugoye (uganda),Colombia,Faodail Roastery,Colombia,Natural,MediumOmni,SweetStrawberryBerryFruity
1856,Pot Luck Coffee,Timor,Cairngorm,Colombia,Washed,Medium,Roasted
1857,Raw Green Vietnam Arabica G1,Brazil,On The Grind,Gesha / AbyssiniaCera,Natural,Omni,NutmegClove
1858,Rwanda Gishyta 117,South America,Ristretto,Nyasaland,"DecafWashed, Sugarcane (E.A.)",Espresso,SweetFloralPineappleOther Fruit
1859,Sitio Portella // Brazil,Africa,Yallah,SL-34SL-28,Natural,Omni,ChocolateNutty/CocoaVanillaSweet
1860,Mexico: Finca Muxbal - Single Origin - 100% Arabica - Newly Arrived,North & Central America,Rinaldo's Coffee,Robiaceae Coffea,Washed,Espresso,ChocolateCaramelizedOrangeSour
1861,Colombia,Brazil,River City,Caturra,Honey,Dark,HazelnutNuttyStrawberryPearOrange
1862,Colombia Cauca Inzá,Colombia,The Roasting Project,Arabica,Washed,Omni,Other FruitGrapefruitCitrus FruitFruity
1863,Assembly Decaf — Colombia,Costa Rica,Assembly,Gesha / Abyssinia,Washed,Medium Dark,ChocolateBrown SugarSweetCherryRawFresh
1864,Queen Gesha,Brazil,Hermanos,CaturraCatucaiSL-34SL-28,DecafHoney,Medium Dark,RoastedDark ChocolateRoseFloralFloralBlueberryPeachOther
1865,Tater Du // Uganda - Natural,Burundi,Land's End Coffee,CastilloColombiaCaturraTypica,Washed,Espresso,SweetStrawberryPeachLemonCitrus FruitFruityBitter
1866,Kenya - Mwiria Aa,Ethiopia,Crown & Canvas,CastilloColombiaCaturra,Honey,Omni,ChocolateHoneyPeachGrapefruit
1867,Italian Espresso Blend,Brazil,On The Grind,ColombiaRobiaceae Coffea,Washed,MediumOmni,SpicesNuttyChocolateVanillaFloralFloralOrange
1868,"Tres Pioneros, Colombia - Decaf",Uganda,39 Steps,Mundo NovoCaturraCatuai,Honey,Espresso,ChocolateLime
1869,,Vietnam,Due Fratelli,Java (Cultivar),Washed,,ChocolateDark ChocolateCaramelizedStrawberryCitrus Fruit
1870,Ethiopia Gelana Geisha,Rwanda,Triple Co Roast,Catuai,Washed,,RoastedSpicesVanillaSweetJasmineRaspberryLemon
1871,Peru Cajamarca,Brazil,Indy Coffee,CaturraPache ComumBourbonSL-34RobustaSL-28,Washed,,NuttyVanillaSweetCitrus Fruit
1872,Red Stag Seasonal,Mexico,Glen Lyon,TypicaHybrido de Timor,Natural,,ChocolateFruity
1873,Mártir,Colombia,Blossom,ArabicaObataOro AztecaMarsellesa,"DecafWashed, Sparkling Water (CO2)",,Brown SugarSweetRaisinDried FruitApple
1874,Las Brisas // Colombia,Colombia,Yallah,ArabicaYellow Bourbon,Washed,,CocoaBrown SugarSweetPeachOrangeCitric Acid
1875,"Decaffeinated Inza – Asorcafe, Colombia",Colombia,Roasting House,BourbonTypicaArusha,Natural,,ChocolateVanillaRaspberryOrange
1876,Mexican Single Origin,Colombia,Roasting Plant,CastilloColombiaCaturra,Washed,,RoastedPeanutsChocolateNutty/CocoaHoneyVanillaOrange
1877,Halcyon,Uganda,Whole in the Ground,Bourbon,Washed,,HoneyPeach
1878,,Kenya,Due Fratelli,CaturraRed Catuai,Washed,,ChocolateCaramelizedBerrySalty
1879,Brazil Peaberry,Mexico,Lost Barn,Red BourbonYellow Bourbon,Honey,,NuttyCocoaVanilla
1880,Love Lane House Blend - 1kg,Brazil,Luckie Beans,CaturraBourbon,Natural,,NuttyChocolateSweetBerry
1881,Rotutu Timor-Leste,Colombia,Hill Top Brews,WilshoKumieDeiga/Dega,Honey,,ChocolateMolassesCaramelizedAppleOrange
1882,Mexico Villa Corzo Woman'S Cooperative,Ethiopia,UE Coffee Roasters,Ethiopia / Sudan Assesion,"DecafNatural, Sparkling Water (CO2)",,HazelnutChocolateMolassesCaramelized
1883,Brazil Signature Espresso,Colombia,Chimney Fire Coffee,Yellow Bourbon,Washed,,NuttyDark ChocolateCaramelized
1884,Five Arches Decaf,South America,Smith Street,Mundo Novo,Natural,,HazelnutNuttyChocolateSweet
1885,Daddy’s Cup – Papua New Guinea,Africa,80 Stone,CastilloColombiaCaturra,Natural,,ChocolateCaramelizedSweetBerryDried Fruit
1886,Impact Espresso | Well Grounded,Ethiopia,Notes,,Washed,,Dark ChocolateNutty/CocoaSweetFloralFloral
1887,Grainne,Peru,Causeway,,,,HazelnutAlmondChocolateVanillaFloralFloralHerb-like
1888,Finca El Porthron,Kenya,Coffee Real,,,,NuttyDark ChocolateMolassesCaramelized
1889,Manor Born – Costa Rica,Bolivia,80 Stone,,,,RoastedMolassesCaramelizedOther FruitGrapefruit
1890,Honduras Fuerza La Labor Ground Coffee,Brazil,Grumpy Mule,,,,NuttyChocolateSweetCitrus Fruit
1891,The Ballroom Blend,Colombia,Dear Green,,,,Dark ChocolateCocoaMaple SyrupFloralStrawberryBerryPear
1892,Brazil Santos - Green - Rfa,Colombia,Two Dogs,,,,SmokySpices
1893,Danche Espresso,Colombia,Workshop Coffee,,,,SpicesVanillaSweetFloralOther FruitLemon
1894,,Mexico,PRESS Coffee & Co.,,,,CerealSpicesSweet
1895,Banko Gotiti // Ethiopia,Mexico,Yallah,,,,NuttyDark ChocolateSweetRaisinDried FruitSourOther
1896,Rudolph'S Roast,Indonesia,Loud Mouth Coffee,,,,CaramelizedBrown SugarBerry
1897,Brazil - Fazenda Sao Lucas - Natural - Direct Trade,Cameroon,Black Cat Coffee,,,,
1898,Colombia Asorcafe Inza Cauca,Brazil,Lost Barn,,,,
1899,2nd Craic Kaffe Espresso,Kenya,Well Roasted,,,,
1900,Brazil Coffee,Brazil,Winchester Coffee Roasters,ArabicaRobiaceae Coffea,Honey,Filter,NuttyHoneySweetFloral
1901,"Hambela Wamena (washed), Ethiopia",Ethiopia,Machina,WilshoKumie,Washed,Filter,HoneyJasminePeach
1902,Colombia - Inza Cauca (single Origin),Colombia,Crude,CastilloCaturra,Washed,Filter,VanillaSweetFloralPeachGrapefruitCitrus Fruit
1903,Hunda Community // East Timor,Timor,Yallah,TypicaHybrido de Timor,Washed,MediumOmni,Brown SugarOrangeLemon
1904,Steadfast,Uganda,Olfactory Coffee,SL-14Catimor / AtengRed Catuai,Washed,Omni,HazelnutChocolateSweetDried Fruit
1905,Brazil - Ipanema Gourmet,Honduras,Bean Brothers,TopázioAcaia,Honey,Medium DarkEspresso,HazelnutVanillaSweetCitrus Fruit
1906,"La Naranja And Ivan Cruz Clevado, Peru | Decaf",Brazil,Williams & Johnson,Red CaturraPache ComumTypicaYellow Bourbon,DecafHoney,Espresso,ChocolateOrange
1907,Dragon/Draig,Peru,Welsh Coffee,CaturraBourbon,Washed,Filter,Other
1908,Colombia Huila Especial - Sugar Cane Decaf,Panama,UE Coffee Roasters,Colombia,"DecafWashed, Sugarcane (E.A.)",Green,ChocolateHoneyVanilla
1909,Pecan Sweet - Blend,Nicaragua,Coffee Novice,Arabica,DecafNatural,Espresso,NuttyChocolateNutty/CocoaMolassesCaramelizedSweetOther
1910,Natural Decaf Espresso,Colombia,Chimney Fire Coffee,CastilloColombiaCaturraArabica,Washed,MediumEspresso,CaramelizedBlackberryBerryOrangeCitrus FruitFruity
1911,Ethiopia - Biftu Gudina,Brazil,Jolly Bean,Ethiopia / Sudan AssesionAgaroGimmaRobiaceae Coffea,Washed,MediumFilter,Dark ChocolateNutty/CocoaCaramelizedVanillaAppleOrangeCitrus Fruit
1912,Raw Green Tanzania Majinja,Guatemala,On The Grind,TypicaRobiaceae CoffeaSL-28,Washed,Medium,AlmondChocolateMolassesCaramelizedSweetAppleCitrus Fruit
1913,Mr Wolf,Ethiopia,Wolfox,CastilloCaturraTypica,Washed,Espresso,FloralPeachGrapefruitFruity
1914,"Israel Degfa, Gelana Gesha",Tanzania,Plot Roasting,Ethiopia / Sudan AssesionGesha / Abyssinia,Washed,Espresso,Overall SweetSweetBerry
1915,Colombia San Aldofo Coffee,Peru,Hope Espresso,ColombiaPink Bourbon,Natural,Medium,NutmegBrown SugarBerry
1916,Kisii Peaberry,Colombia,Edgcumbes,Ruiru 11SL-34SL-28,Washed,Filter,ChocolateBrown SugarSweetStrawberryPearFruity
1917,"Finca La Esperanza, Tres Dragones - Colombia",Ethiopia,Coffee Gems,Colombia,Washed,Omni,NuttyChocolateOrange
1918,The Docks House Blend,Colombia,North Star,SL-28,Washed,Medium,BerryOther FruitCitrus FruitFruityFresh
1919,Thiriku,Kenya,Monmouth Coffee,Hybrido de Timor,Washed,Espresso,ChocolateCherry
1920,Timor-Leste Koileki,Honduras,Hard Lines,CastilloColombiaCaturra,Washed,Espresso,NuttyChocolateMolassesCaramelizedCitrus Fruit
1921,Timber Town Espresso Blend,Colombia,Outpost,CastilloColombiaCaturra,Washed,Light,Brown SugarFloralFloralApple
1922,Colombia Malla 14 - Espresso,El Salvador,39 Steps,PacasBourbon,Washed,Medium,AniseChocolateFloralOther Fruit
1923,Colombia - Inza Asorcafe,Brazil,Crown & Canvas,TypicaHybrido de Timor,Honey,MediumEspresso,NuttyNutty/CocoaVanillaSweetRaisinDried Fruit
